"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI_Rank","DCI_Percentile"
"Z74743","Hugo","OK",8595,21.4,19.3,42.1,33.1,62.2,-3.5,11.4,21935,24693,22968,24717,23871,17511,5309,20143.4285714286,23972,91.8
"Z74745","Idabel","OK",10062,18.3,13.2,38.1,30.3,60.8,5.8,9.09999999999999,20006,20954,21090,24165,24110,12162,6609,18442.2857142857,21998,84.2
"Z74748","Kenefic","OK",675,19.1,22.6,41.9,12.2,67.5,NA,400,20531,25408,22886,12081,22721,NA,9,17272.6666666667,20362,77.9
"Z74756","Sawyer","OK",872,11.2,16.9,38.9,12.1,96.7,-4.8,0,12973,23716,21552,11951,12120,18037,15327,16525.1428571429,19194,73.5
"Z74759","Soper","OK",1265,14.1,17.3,34.4,20,77.3,NA,16.7,16436,23922,18700,19650,19795,NA,3426,16988.1666666667,19942,76.3
"Z74764","Valliant","OK",3731,16.7,16.8,40.9,24.7,77.7,24.2,7.8,18782,23687,22506,22379,19638,4209,7454,16950.7142857143,19877,76.1
"Z74766","Wright City","OK",1327,19.2,16.3,43.8,20.9,64.9,NA,55.6,20599,23452,23495,20316,23331,NA,468,18610.1666666667,22205,85
"Z74801","Shawnee","OK",22206,15.5,12.8,36.3,22.5,78.1,-13.9,-1.90000000000001,17760,20484,19978,21320,19466,20703,17616,19618.1428571429,23475,89.9
"Z74804","Shawnee","OK",20488,9,7.4,27,15.3,106.7,14,10.4,9813,11644,11955,15553,8823,7546,5819,10164.7142857143,8431,32.3
"Z74820","Ada","OK",31460,12.3,11,27.6,19.5,91.9,-1,1.2,14306,18151,12681,19260,13962,16246,13540,15449.4285714286,17397,66.6
"Z74824","Agra","OK",1480,15.1,11.8,34.7,16.2,97.4,28.6,9.09999999999999,17388,19303,18904,16456,11852,3353,6559,13402.1428571429,13897,53.2
"Z74825","Allen","OK",2100,14.6,15.5,31.2,18.5,89.3,5.3,-3.7,16929,22910,16154,18516,14973,12470,19098,17292.8571428571,20394,78.1
"Z74826","Asher","OK",1019,20.7,18.9,39,22.7,77.5,-36.7,8.3,21536,24545,21611,21435,19716,22893,7164,19842.8571428571,23703,90.7
"Z74829","Boley","OK",1493,34.5,33.2,83.3,49.9,55.9,6.5,-22.2,25338,26048,26069,25961,24800,11708,25026,23564.2857142857,25936,99.3
"Z74831","Byars","OK",759,20.4,18.8,38.6,25.3,69.3,-20.5,16.7,21355,24505,21398,22612,22257,21664,3391,19597.4285714286,23452,89.8
"Z74832","Carney","OK",886,19.9,12.6,37,26.9,86.9,17.8,37.5,21051,20297,20436,23242,15951,5985,937,15414.1428571429,17347,66.4
"Z74833","Castle","OK",684,25.2,18.1,31.2,11.9,96,NA,-50,23579,24270,16161,11666,12402,NA,26037,19019.1666666667,22768,87.2
"Z74834","Chandler","OK",7225,13.6,9.8,35.5,17.5,95.1,3.59999999999999,-6,15911,16295,19463,17693,12746,13526,20710,16620.5714285714,19368,74.1
"Z74839","Dustin","OK",682,11.3,26.5,48.7,27.9,53.3,-28,10,13102,25811,24553,23557,25057,22384,6095,20079.8571428571,23919,91.6
"Z74840","Earlsboro","OK",1865,14.2,10.4,32.7,17.3,100.4,NA,-5.3,16550,17282,17394,17475,10780,NA,20297,16629.6666666667,19385,74.2
"Z74848","Holdenville","OK",8186,23.6,24.6,52.7,17.8,75,-5.7,-3.40000000000001,22996,25640,25096,17981,20529,18438,18900,21368.5714285714,24973,95.6
"Z74849","Konawa","OK",3364,15.1,16.7,37.9,21.2,88.5,-27.4,-8.7,17389,23633,20982,20502,15299,22333,22164,20328.8571428571,24127,92.4
"Z74851","Mcloud","OK",10100,16,9.2,47.3,14.8,108.1,-18.3,-1.3,18192,15264,24304,15058,8436,21392,17133,17111.2857142857,20123,77
"Z74852","Macomb","OK",1376,14.6,13.8,41.4,21.9,78.6,-18.8,-15.4,16930,21552,22690,20979,19256,21472,24134,21001.8571428571,24712,94.6
"Z74854","Maud","OK",1582,16.2,19.1,41.1,20.3,80.8,0,-5.59999999999999,18355,24614,22581,19908,18422,15747,20448,20010.7142857143,23859,91.3
"Z74855","Meeker","OK",5160,12.6,11.8,33.5,10.9,114.9,NA,6.8,14685,19288,18050,10451,6788,NA,8310,12928.6666666667,13066,50
"Z74856","Mill Creek","OK",746,17.6,11.5,30.6,13.8,92.1,16,42.9,19498,18903,15591,13906,13873,6712,747,12747.1428571429,12707,48.6
"Z74857","Newalla","OK",8157,14.6,8.5,30.4,9.9,122.2,22.3,-7.3,16931,13915,15377,9132,5396,4688,21454,12413.2857142857,12131,46.4
"Z74859","Okemah","OK",6059,16.1,20.2,41.8,24.8,74,131.7,2.90000000000001,18271,24939,22844,22418,20860,296,11765,17341.8571428571,20467,78.3
"Z74860","Paden","OK",1778,17.9,19.6,41.7,20.3,98.9,39.7,29.4,19722,24768,22807,19909,11297,2034,1427,14566.2857142857,15971,61.1
"Z74864","Prague","OK",5380,12.8,14.1,30.9,9.4,117.9,10.4,9.2,14935,21811,15892,8471,6125,9369,6502,11872.1428571429,11210,42.9
"Z74865","Roff","OK",1754,12,12.6,27.4,15.9,99,41.6,15.8,13964,20249,12446,16146,11255,1900,3596,11365.1428571429,10342,39.6
