Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z28147,9774,884,459,18,37,12,44,0,314
Z28150,13362,2153,405,19,312,50,177,0,1190
Z28152,10544,1290,407,77,218,0,119,0,469
Z28159,1499,214,52,0,0,0,0,0,162
Z28160,1964,431,187,0,0,0,61,0,183
Z28163,2162,140,8,0,0,0,0,0,132
Z28164,6044,560,37,0,53,24,63,0,383
Z28166,3944,527,14,0,85,19,230,0,179
Z28167,1136,193,0,0,0,0,182,0,11
Z28168,4369,495,0,0,0,66,0,0,429
Z28169,82,33,5,0,0,0,4,0,24
Z28170,5498,1119,211,9,27,0,80,0,792
Z28173,16112,799,14,0,193,74,171,0,347
Z28174,2964,245,14,0,88,0,13,0,130
Z28202,7383,1148,375,184,44,72,81,0,392
Z28203,8014,1027,297,204,79,44,60,0,343
Z28204,3046,196,66,55,37,0,0,0,38
Z28205,21016,1780,593,104,134,98,150,0,701
Z28206,4990,604,204,21,22,0,9,0,348
Z28207,4189,380,47,8,18,160,82,0,65
Z28208,15261,2233,817,277,170,77,70,0,822
Z28209,11161,770,233,52,69,34,51,0,331
Z28210,21747,1677,517,197,301,149,123,0,390
Z28211,13470,1186,211,25,265,78,179,0,428
Z28212,17125,1706,585,181,126,61,52,0,701
Z28213,16227,1787,589,146,195,111,96,0,650
Z28214,14192,1095,85,42,298,0,87,0,583
Z28215,21933,2112,507,52,89,95,70,0,1299
Z28216,20241,1656,262,90,209,48,19,0,1028
Z28217,10938,1037,386,216,48,46,8,0,333
Z28226,16873,989,338,44,240,33,58,0,276
Z28227,20457,1287,516,18,188,0,23,0,542
Z28262,15798,1327,724,136,143,13,59,0,252
Z28269,30210,2009,496,113,260,53,382,0,705
Z28270,13349,507,129,163,53,23,9,0,130
Z28273,14127,850,307,63,63,38,84,0,295
Z28277,26184,1370,388,200,166,0,290,0,326
Z28278,8609,436,71,0,37,26,141,0,161
Z28301,8266,1442,268,60,64,52,86,0,912
Z28303,15029,2155,807,226,321,303,76,0,422
Z28304,16740,2177,665,184,269,168,9,0,882
Z28305,3412,599,126,51,98,67,51,0,206
Z28306,17102,1573,400,112,154,272,59,0,576
Z28307,5426,441,86,17,0,0,0,0,338
Z28311,16477,2700,1037,418,354,83,81,0,727
Z28312,8492,1199,240,23,156,67,74,0,639
Z28314,26047,4104,1502,764,603,506,98,0,631
Z28315,5418,697,81,0,123,0,335,0,158
Z28318,2107,274,29,0,36,25,10,0,174
Z28320,4419,621,122,30,48,49,47,0,325
Z28323,1406,216,0,0,65,0,3,0,148
Z28326,7139,707,169,0,4,0,27,0,507
Z28327,6398,776,173,0,75,34,179,0,315
Z28328,11559,1444,165,30,108,81,158,9,893
Z28332,218,27,0,0,12,3,0,0,12
Z28333,4882,842,246,60,51,0,0,0,485
Z28334,11259,1524,297,101,65,25,312,0,724
Z28337,5934,1618,281,0,49,0,937,6,345
Z28338,2332,354,29,22,50,9,56,0,188
Z28339,3190,508,97,31,106,26,55,0,193
Z28340,4711,706,91,0,54,2,99,0,460
Z28341,1759,335,53,0,94,0,44,0,144
Z28342,80,10,0,0,0,3,7,0,0
Z28343,766,236,7,0,52,4,2,0,171
Z28344,1468,299,107,0,9,12,25,0,146
Z28345,5390,498,59,0,69,44,97,23,206
Z28347,522,88,0,0,8,8,7,0,65
Z28348,13094,1275,232,7,306,215,0,0,515
Z28349,1590,168,51,0,66,0,0,0,51
Z28351,1844,295,53,0,26,11,12,0,193
Z28352,10613,1305,244,37,96,60,85,0,783
Z28356,2145,377,0,22,19,52,23,0,261
Z28358,15543,2097,653,83,199,53,71,0,1038
Z28360,5410,564,105,11,5,0,38,0,405
Z28364,5740,712,29,11,31,63,88,0,490
Z28365,7404,935,203,0,35,7,84,0,606
Z28366,2493,511,57,0,0,0,111,53,290
Z28371,2608,423,124,19,4,29,31,0,216
Z28372,5034,529,133,76,14,7,24,0,275
Z28373,1096,77,0,0,9,14,10,0,44
Z28374,9912,2021,143,0,336,0,1390,0,152
Z28376,16073,2195,623,84,407,57,88,0,936
Z28377,5025,866,35,24,69,26,35,0,677
Z28379,12033,1446,277,0,121,30,48,0,970
Z28382,3068,450,53,0,56,13,79,0,249
Z28383,3171,297,27,10,11,10,17,0,222
Z28384,4749,541,60,29,40,11,99,0,302
Z28385,1253,131,7,4,0,0,5,0,115
Z28386,2205,293,23,11,18,9,16,0,216
Z28387,7829,1311,314,87,154,52,380,0,324
Z28390,9793,1497,578,112,83,55,54,0,615
Z28391,2270,287,9,0,8,45,0,0,225
Z28393,692,110,0,4,0,0,21,0,85
Z28394,2656,634,60,52,22,0,164,0,336
Z28395,1047,132,0,5,0,25,2,0,100
Z28396,1307,186,4,0,4,7,5,0,166
Z28398,3631,628,136,0,0,26,182,0,284
Z28399,978,127,55,26,0,0,22,0,24
Z28401,11949,1926,336,35,75,47,259,0,1174
Z28403,18899,2225,642,0,225,78,440,0,840
Z28405,14519,1661,220,67,140,73,535,0,626
Z28409,13522,1180,121,0,191,0,471,0,397
Z28411,14685,1215,0,0,177,48,603,0,387
Z28412,17871,1732,813,43,126,0,543,0,207
Z28420,1644,362,0,25,24,23,136,0,154
Z28421,741,254,85,0,16,0,106,0,47
Z28422,3909,968,27,13,73,10,633,0,212
Z28423,1048,93,8,0,3,0,30,0,52
Z28425,4927,905,174,25,197,0,207,0,302
Z28428,5604,3036,309,8,298,23,2291,0,107
Z28429,3289,232,0,0,0,30,38,0,164
Z28430,756,101,4,0,0,0,45,0,52
Z28431,3166,495,85,0,37,0,50,0,323
Z28432,913,89,47,0,0,0,0,0,42
Z28433,2237,173,7,9,0,0,7,31,119
Z28436,799,68,26,0,0,0,14,0,28
Z28438,868,100,17,0,0,0,40,0,43
Z28439,906,151,57,0,13,0,19,15,47
Z28443,8547,1583,63,0,189,0,914,0,417
Z28444,969,222,33,0,16,0,106,0,67
Z28445,6729,3906,322,0,108,27,3220,0,229
Z28447,644,32,0,0,0,0,0,0,32
Z28448,549,66,0,0,0,0,22,0,44
Z28449,1895,1039,167,16,62,0,727,0,67
Z28450,1454,511,29,14,23,3,392,0,50
Z28451,13263,1265,347,0,213,9,369,0,327
Z28453,1517,265,34,0,0,0,66,0,165
Z28454,1027,255,13,11,0,14,48,0,169
Z28455,990,332,0,0,0,0,164,0,168
Z28456,1847,357,68,1,0,0,144,0,144
Z28457,4015,480,60,0,60,25,163,0,172
Z28458,2960,487,55,0,43,9,114,0,266
Z28460,6529,2976,494,54,112,0,1973,0,343
Z28461,10855,3218,360,1,182,2,2459,0,214
Z28462,12081,6896,591,3,232,55,5526,3,486
Z28463,3707,474,85,0,37,43,110,0,199
Z28464,898,112,83,0,4,0,3,0,22
Z28465,8827,5682,734,0,250,10,4425,0,263
Z28466,5273,753,197,0,67,53,144,0,292
Z28467,7151,2390,336,14,170,25,1671,0,174
Z28468,5743,3569,485,0,104,0,2968,0,12
Z28469,7768,4995,560,0,139,0,4218,0,78
Z28470,6132,1534,136,0,74,66,913,0,345
Z28472,8783,1174,334,9,171,0,89,0,571
Z28478,2025,353,31,37,33,27,68,0,157
Z28479,2559,286,35,0,0,0,177,0,74
Z28480,2690,1518,112,19,34,29,1266,0,58
Z28501,9995,1873,640,147,163,66,288,10,559
Z28504,9599,1079,305,32,111,12,221,0,398
Z28510,1048,436,24,0,19,10,312,0,71
Z28512,7115,5522,396,86,172,54,4681,0,133
Z28513,4641,470,104,0,75,0,38,0,253
Z28515,1248,386,26,0,76,41,58,0,185
Z28516,6509,1486,105,23,97,26,977,0,258
Z28518,3666,442,36,28,0,0,55,0,323
Z28519,180,53,14,0,7,0,0,0,32
Z28521,1057,165,0,0,26,0,0,0,139
Z28523,1148,50,7,0,4,0,20,0,19
Z28524,208,77,0,0,0,0,52,0,25
Z28525,1197,141,0,0,0,0,85,0,56
Z28526,1277,197,8,0,0,49,70,0,70
Z28527,544,16,0,0,0,0,0,0,16
Z28528,467,160,17,0,0,0,108,0,35
Z28529,1270,316,39,0,10,8,135,0,124
Z28530,3280,599,67,0,111,74,68,0,279
Z28531,1190,583,30,13,14,0,483,0,43
Z28532,9904,1379,355,75,145,44,249,0,511
Z28538,979,93,15,0,1,11,25,0,41
Z28539,6929,1114,330,37,208,0,217,0,322
Z28540,21004,3142,1328,39,507,37,65,0,1166
Z28544,2281,215,135,0,0,0,15,0,65
Z28546,19233,2110,843,47,337,71,45,0,767
Z28547,1953,68,45,0,0,0,0,0,23
Z28551,6273,497,80,0,81,0,131,0,205
Z28553,291,139,0,0,0,0,139,0,0
Z28554,100,20,0,0,11,0,0,0,9
Z28555,2115,293,56,0,12,0,8,0,217
Z28556,779,270,0,0,0,0,232,0,38
Z28557,7871,1397,77,0,131,35,788,0,366
Z28560,13205,2075,471,136,264,40,466,0,698
Z28562,17395,1633,396,0,351,88,267,0,531
Z28570,10662,1484,139,0,181,0,822,0,342
Z28571,1773,568,32,20,49,9,391,0,67
Z28572,2751,389,20,0,6,6,28,0,329
Z28573,1149,180,32,0,2,4,25,0,117
Z28574,6468,629,93,47,131,8,8,0,342
Z28575,1749,1490,95,21,32,16,1273,0,53
Z28578,2069,195,33,0,0,31,3,0,128
Z28579,311,78,0,0,0,0,0,0,78
Z28580,4564,502,50,0,94,0,227,0,131
Z28584,6396,1694,101,4,123,17,1199,0,250
Z28585,1752,182,4,0,6,14,34,0,124
Z28586,3289,389,22,40,8,89,12,31,187
Z28589,133,26,0,0,0,0,0,0,26
Z28590,9977,626,255,0,53,49,30,0,239
Z28594,6798,4981,452,138,193,15,4046,0,137
Z28601,22420,3202,696,146,380,95,388,0,1497
Z28602,12651,1505,303,14,44,78,109,14,943
Z28604,9120,6361,692,82,199,67,4997,0,324
Z28605,4332,2773,313,0,87,19,2279,0,75
Z28606,953,225,0,0,0,0,95,0,130
Z28607,17004,4566,653,411,44,17,2849,0,592
Z28610,4129,571,9,25,8,0,99,0,430
Z28612,5490,901,69,26,171,0,61,0,574
Z28613,9647,893,149,0,165,0,68,0,511
Z28615,1209,408,0,28,20,0,266,0,94
Z28617,1667,451,60,0,0,0,358,0,33
Z28618,1398,522,0,35,18,0,421,0,48
Z28621,4832,779,307,22,45,0,55,0,350
Z28622,1503,625,84,0,27,0,425,0,89
Z28623,1077,265,0,0,42,15,132,22,54
Z28624,887,164,0,0,0,0,114,0,50
Z28625,15781,1736,185,0,244,108,150,0,1049
Z28628,151,12,0,0,0,0,0,0,12
Z28630,8396,910,135,29,122,0,60,0,564
Z28634,2334,402,36,0,152,0,54,0,160
Z28635,1965,309,0,0,15,46,57,0,191
Z28636,2302,399,28,58,38,0,63,0,212
Z28637,718,70,12,0,0,0,0,0,58
Z28638,5326,872,130,0,20,0,177,0,545
Z28640,2805,891,86,0,99,0,551,0,155
Z28642,2721,340,117,60,43,14,15,0,91
Z28644,1291,844,71,0,0,0,689,34,50
Z28645,22206,3904,566,45,152,102,949,0,2090
Z28646,1249,993,4,0,15,0,973,0,1
Z28647,123,74,0,0,0,0,74,0,0
Z28650,4722,591,42,51,0,0,32,0,466
Z28651,3600,920,151,11,51,0,448,0,259
Z28654,1768,282,30,0,0,14,70,0,168
Z28655,24722,3837,442,87,324,75,669,0,2240
Z28657,6558,2434,43,34,115,25,2034,0,183
Z28658,11252,1403,373,0,217,22,27,0,764
Z28659,9549,1384,228,26,225,130,69,0,706
Z28663,503,269,0,0,0,0,213,0,56
Z28667,243,69,8,0,11,0,21,0,29
Z28668,971,833,0,0,15,0,787,31,0
Z28670,1430,170,18,0,4,0,45,0,103
Z28673,3024,862,50,0,34,0,570,0,208
Z28675,3953,1099,86,0,84,0,589,12,328
Z28676,1670,140,25,0,49,0,26,0,40
Z28677,15085,2507,709,94,469,37,207,0,991
Z28678,2156,126,0,0,0,0,41,0,85
Z28679,1146,329,56,0,0,0,171,0,102
Z28681,11413,1825,265,0,104,43,417,0,996
Z28682,691,137,0,0,14,0,105,0,18
Z28683,993,253,0,0,33,0,29,0,191
Z28685,1040,335,34,54,0,33,85,0,129
Z28689,621,28,0,0,0,0,12,0,16
Z28690,4292,606,0,0,38,0,181,0,387
Z28692,2488,837,58,11,25,0,677,0,66
Z28693,820,206,0,0,0,27,90,0,89
Z28694,4805,1353,158,3,63,39,922,4,164
Z28697,5866,741,251,0,12,34,123,0,321
Z28698,1299,469,0,0,35,0,309,0,125
Z28701,1501,51,0,0,0,0,51,0,0
Z28702,538,315,4,0,0,0,293,0,18
Z28704,8999,845,62,46,74,7,322,0,334
Z28705,4048,1194,88,0,48,0,555,19,484
Z28708,354,75,0,0,0,0,46,0,29
Z28709,1038,104,33,0,0,0,0,0,71
Z28711,6970,1553,113,0,85,100,1090,0,165
Z28712,10761,2806,187,60,239,102,1796,20,402
Z28713,5791,2345,144,0,0,0,1836,0,365
Z28714,10086,3155,116,22,160,64,1727,0,1066
Z28715,11317,1346,147,0,176,149,363,0,511
Z28716,8576,1455,62,0,111,25,537,55,665
Z28717,2858,2053,7,0,33,16,1925,0,72
Z28719,3952,1042,46,22,8,14,512,19,421
Z28721,5322,885,100,0,96,0,236,0,453
Z28722,3391,675,45,42,30,0,348,0,210
Z28723,5128,1823,182,64,21,0,1240,7,309
Z28729,1637,242,79,0,0,0,128,0,35
Z28730,4214,650,100,0,127,0,256,0,167
Z28731,4304,937,37,0,142,23,578,0,157
Z28732,7590,625,22,27,149,0,134,0,293
Z28734,17292,5299,222,9,253,75,3533,24,1183
Z28736,1149,725,16,0,23,0,657,0,29
Z28739,10957,1964,151,20,202,15,1065,22,489
Z28740,757,224,20,0,8,0,144,0,52
Z28741,5590,3696,16,0,96,15,3437,0,132
Z28742,1210,171,0,0,16,0,99,0,56
Z28743,1359,394,3,0,28,0,211,0,152
Z28745,610,326,115,0,0,0,211,0,0
Z28746,3126,2005,24,0,39,0,1880,0,62
Z28747,2071,1175,66,10,26,0,929,0,144
Z28748,5315,654,0,0,51,0,104,0,499
Z28751,4104,2506,119,37,76,9,2063,0,202
Z28752,14004,2043,305,64,46,41,776,0,811
Z28753,5805,968,17,15,40,25,290,0,581
Z28754,4181,1187,22,0,100,0,764,0,301
Z28756,2389,484,0,0,36,57,374,0,17
Z28757,394,266,14,0,0,0,246,0,6
Z28759,3059,319,0,0,10,0,239,0,70
Z28761,3682,786,56,0,41,17,534,0,138
Z28762,3321,633,33,24,24,22,273,0,257
Z28763,1751,526,0,0,14,0,371,0,141
Z28768,3743,734,88,0,44,0,355,0,247
Z28771,5454,2394,116,8,48,18,1830,23,351
Z28773,2074,858,72,26,18,19,594,0,129
Z28774,2366,1657,9,0,41,0,1557,0,50
Z28775,267,112,0,0,0,0,112,0,0
Z28777,4863,1252,173,20,112,0,696,0,251
Z28778,4687,405,63,0,0,0,180,0,162
Z28779,9071,2085,146,65,26,19,1119,0,710
Z28781,925,532,41,0,0,0,417,0,74
Z28782,4021,965,106,25,69,40,474,0,251
Z28783,1116,470,5,0,0,0,383,0,82
Z28785,4497,1406,65,0,206,0,1020,8,107
Z28786,12087,2478,181,73,110,61,1567,0,486
Z28787,8916,1108,59,0,56,0,452,47,494
Z28789,3426,1253,38,130,0,0,828,0,257
Z28790,1706,364,0,0,43,0,217,0,104
Z28791,7326,775,26,0,102,42,269,0,336
Z28792,16363,2880,72,172,274,53,1154,13,1142
Z28801,7453,942,211,60,85,25,435,0,126
Z28803,15535,1673,280,0,142,25,719,0,507
Z28804,9524,1267,188,82,88,0,481,0,428
Z28805,9250,767,113,0,0,23,485,0,146
Z28806,18451,1881,178,34,319,0,356,0,994
Z28901,2866,715,103,42,0,0,368,0,202
Z28902,860,275,52,0,11,0,154,0,58
Z28904,5973,2324,91,52,55,16,1813,0,297
Z28905,1596,472,8,0,0,16,303,0,145
Z28906,12931,5772,322,65,214,0,4278,0,893
Z28909,576,131,0,0,0,0,53,0,78
Z29001,871,77,0,0,0,0,21,0,56
Z29003,3062,486,31,0,35,172,112,0,136
Z29006,4573,772,5,24,101,0,191,0,451
Z29009,1309,292,0,0,46,5,44,0,197
Z29010,5106,877,60,0,60,0,142,0,615
Z29016,7009,397,11,0,84,0,199,0,103
Z29018,1613,375,7,0,45,21,144,0,158
Z29020,11119,1929,92,37,180,0,580,0,1040
Z29030,1137,270,0,0,63,0,78,0,129
Z29031,668,175,3,0,7,0,52,0,113
Z29032,1964,203,33,0,23,26,0,0,121
Z29033,5662,372,79,27,64,23,6,0,173
Z29036,8582,919,22,0,227,0,452,0,218
Z29037,585,194,31,0,0,0,135,0,28
Z29039,1597,304,84,0,0,36,75,0,109
Z29040,3889,471,0,41,59,0,65,0,306
Z29042,2718,639,119,0,40,155,201,0,124
Z29044,2577,537,11,0,6,136,13,0,371
Z29045,9411,718,51,0,208,30,65,0,364
Z29047,2036,610,53,21,18,16,221,0,281
Z29048,2909,1037,23,4,0,18,540,0,452
Z29053,7670,955,221,66,94,0,67,0,507
Z29054,4139,517,8,0,25,24,216,0,244
Z29055,2024,406,35,46,41,14,30,0,240
Z29056,1018,235,29,0,0,4,53,0,149
Z29058,1976,257,60,0,9,6,79,0,103
Z29059,2814,597,46,1,22,10,298,0,220
Z29061,5936,567,119,0,39,93,145,0,171
Z29063,13602,949,141,0,282,47,49,0,430
Z29067,4122,554,140,27,108,37,27,0,215
Z29069,2151,218,7,0,56,16,71,0,68
Z29070,7440,1595,38,0,84,21,702,0,750
Z29072,21488,1372,245,60,390,87,295,0,295
Z29073,17166,1301,118,48,90,0,87,0,958
Z29074,300,274,0,0,0,0,274,0,0
Z29075,1300,76,15,0,8,0,7,0,46
Z29078,6403,665,20,0,51,77,89,0,428
Z29080,1476,330,6,0,5,20,82,0,217
Z29081,760,209,38,0,8,94,36,0,33
Z29101,1376,261,13,0,27,0,27,0,194
Z29102,8984,2062,29,32,166,0,1031,0,804
Z29105,515,60,4,0,0,0,8,0,48
Z29107,1568,237,9,3,0,72,12,0,141
Z29108,8157,1216,160,48,96,0,185,0,727
Z29111,675,70,13,0,0,0,0,0,57
Z29112,2273,591,53,6,35,75,36,0,386
Z29113,793,168,0,0,21,16,79,0,52
Z29114,884,171,0,0,7,0,0,0,164
Z29115,13742,2948,912,43,171,364,505,0,953
Z29118,7000,668,123,35,0,0,227,0,283
Z29123,3329,407,59,0,58,0,57,0,233
Z29125,1278,272,10,0,38,0,122,0,102
Z29126,1174,215,13,0,4,0,87,0,111
Z29127,5043,1501,85,0,22,47,1053,0,294
Z29128,2231,445,39,0,32,0,91,0,283
Z29129,1379,339,9,0,29,0,25,0,276
Z29130,3396,733,5,6,67,0,442,0,213
Z29133,546,115,33,0,0,7,4,0,71
Z29135,4003,653,15,46,31,12,120,0,429
Z29137,1137,210,4,4,0,11,65,0,126
Z29138,4625,770,72,22,70,0,158,33,415
Z29142,2553,630,58,0,8,0,333,0,231
Z29145,480,125,28,0,0,0,0,0,97
Z29148,4680,1628,88,0,76,0,1126,0,338
Z29150,18963,2515,382,21,210,22,288,0,1592
Z29153,6727,916,159,0,68,8,183,0,498
Z29154,11801,1094,190,0,213,0,160,0,531
Z29160,3659,523,33,15,17,22,78,0,358
Z29161,4748,612,94,50,26,0,144,0,298
Z29162,1197,144,8,0,0,0,24,0,112
Z29163,778,42,0,0,0,0,38,0,4
Z29166,467,141,0,0,0,0,3,0,138
Z29169,11996,1336,598,0,114,18,15,0,591
Z29170,8753,637,227,33,103,0,21,0,253
Z29172,3819,246,15,24,7,0,0,0,200
Z29178,1812,477,36,25,9,0,81,0,326
Z29180,6847,1441,146,0,75,58,341,0,821
Z29201,9808,2082,997,271,152,147,293,0,222
Z29203,17104,2516,486,0,178,60,92,10,1690
Z29204,9088,1051,245,120,147,113,17,0,409
Z29205,12810,1969,754,181,342,263,66,0,363
Z29206,9100,1196,320,49,255,113,78,0,381
Z29209,14830,1902,925,95,237,277,77,0,291
Z29210,18475,2281,1131,247,145,0,90,0,668
Z29212,12855,1187,437,63,269,0,87,0,331
Z29223,23062,2358,813,113,213,152,254,0,813
Z29229,17423,1843,170,0,328,250,143,0,952
Z29301,14605,1801,588,58,102,81,108,0,864
Z29302,7709,869,168,0,177,57,17,0,450
Z29303,10119,1289,499,50,139,85,33,0,483
Z29306,7505,1254,343,99,83,24,55,0,650
Z29307,9152,935,264,26,149,0,43,0,453
Z29316,9539,679,84,0,123,51,54,0,367
Z29321,1324,194,48,0,17,0,0,0,129
Z29322,3563,532,61,0,27,21,61,0,362
Z29323,6089,724,58,61,42,35,67,0,461
Z29325,6140,815,130,28,110,46,94,0,407
Z29330,3630,555,164,16,62,36,21,0,256
Z29334,5236,356,92,0,143,0,0,0,121
Z29335,1998,350,38,0,31,0,132,0,149
Z29340,9164,1325,328,0,85,0,109,19,784
Z29341,8384,1053,270,27,66,0,60,0,630
Z29349,12505,1521,159,55,338,73,222,0,674
Z29351,768,248,18,17,32,0,0,0,181
Z29353,2169,451,13,0,10,0,43,0,385
Z29356,4123,761,65,0,115,0,253,0,328
Z29360,9442,1440,147,20,175,0,201,0,897
Z29365,4122,443,0,49,115,49,36,0,194
Z29369,5296,162,0,0,15,0,7,0,140
Z29372,2014,379,57,0,25,0,31,0,266
Z29374,1494,240,0,0,60,0,92,0,88
Z29375,34,9,0,0,0,0,0,0,9
Z29376,3211,351,152,0,87,0,51,0,61
Z29379,9090,1368,200,19,133,25,240,0,751
Z29384,2896,1023,0,0,96,0,671,0,256
Z29385,3107,286,22,72,65,0,42,0,85
Z29388,5936,805,138,0,83,0,144,0,440
Z29401,5326,1224,116,113,169,15,628,0,183
Z29403,10320,1713,652,135,208,46,233,0,439
Z29404,390,42,22,0,0,0,0,0,20
Z29405,11668,1875,824,114,205,45,40,0,647
Z29406,13447,1897,771,0,342,83,210,0,491
Z29407,17338,2137,801,266,205,139,125,0,601
Z29412,18063,1633,423,153,297,167,305,0,288
Z29414,16876,1068,201,173,176,0,97,0,421
Z29418,10988,1316,700,20,110,0,36,0,450
Z29420,8643,812,352,69,183,0,76,0,132
Z29426,681,135,0,0,23,0,23,0,89
Z29429,1311,311,31,0,173,0,34,0,73
Z29431,2953,637,11,0,0,0,343,0,283
Z29432,1499,389,42,0,0,106,168,0,73
Z29435,1777,218,22,0,51,0,12,0,133
Z29436,2290,630,29,0,0,26,409,0,166
Z29437,1078,176,0,0,23,0,71,0,82
Z29438,3573,2394,591,18,62,7,1594,0,122
Z29439,2373,1335,228,44,58,0,991,0,14
Z29440,13100,3155,153,25,166,0,2010,0,801
Z29445,21371,1266,341,32,177,266,127,0,323
Z29446,525,205,28,0,5,16,116,0,40
Z29448,968,81,13,0,9,5,9,0,45
Z29450,1515,252,0,0,29,22,45,0,156
Z29451,4602,2684,1140,0,92,0,1342,0,110
Z29453,674,173,0,0,0,28,91,0,54
Z29455,13569,5000,193,20,82,42,3934,0,729
Z29456,11474,916,491,60,150,48,9,0,158
Z29458,1417,534,60,0,26,0,203,0,245
Z29461,13432,989,265,0,138,91,238,0,257
Z29464,21772,1860,506,0,271,69,617,0,397
Z29466,12459,681,91,0,121,0,353,0,116
Z29468,1127,356,28,0,0,0,159,0,169
Z29469,474,19,0,0,0,0,19,0,0
Z29470,1978,229,36,0,15,0,34,0,144
Z29471,740,194,8,0,5,0,57,0,124
Z29472,3282,453,89,0,2,0,127,0,235
Z29475,1350,370,23,0,0,0,32,0,315
Z29477,3094,680,17,54,7,0,186,0,416
Z29479,3032,569,14,0,4,0,89,0,462
Z29482,1131,323,36,0,39,11,231,0,6
Z29483,28108,2289,685,35,365,132,331,50,691
Z29485,19600,1571,575,162,263,44,72,0,455
Z29487,1337,252,0,0,11,26,138,0,77
Z29488,9839,1397,159,59,129,29,215,0,806
Z29492,5037,540,92,34,106,0,202,0,106
Z29493,52,6,0,0,0,0,2,0,4
Z29501,20013,2166,889,114,247,76,239,0,601
Z29505,10752,799,280,0,99,0,83,0,337
Z29506,8707,1438,316,33,132,35,139,0,783
Z29510,4873,908,69,22,27,0,299,0,491
Z29511,2302,319,25,0,0,0,151,0,143
Z29512,7603,1287,234,0,73,72,292,44,572
Z29516,419,61,0,0,0,0,12,0,49
Z29518,560,166,0,0,0,0,11,0,155
Z29520,6819,922,134,8,68,87,219,0,406
Z29525,868,108,45,0,0,0,23,0,40
Z29526,17744,2369,570,20,297,26,578,36,842
Z29527,10344,1151,109,0,138,77,287,0,540
Z29530,1235,207,7,63,0,0,32,0,105
Z29532,9039,1080,227,0,195,0,151,0,507
Z29536,7229,1162,108,20,59,0,206,1,768
Z29540,2258,208,15,0,0,0,54,0,139
Z29541,3577,350,0,0,24,23,58,0,245
Z29545,724,131,40,0,44,0,8,0,39
Z29546,1361,287,28,0,21,0,100,0,138
Z29547,1158,224,8,0,27,23,72,0,94
Z29550,14284,1941,279,0,367,30,240,25,1000
Z29554,4207,758,24,57,41,0,301,0,335
Z29555,2499,415,0,0,45,9,63,0,298
Z29556,5746,1141,73,60,0,55,240,0,713
Z29560,5779,879,50,0,66,20,109,0,634
Z29563,1355,240,12,0,39,0,27,0,162
Z29565,3007,366,16,0,32,0,131,0,187
Z29566,10699,3122,183,0,9,34,2439,0,457
Z29568,6653,1378,42,0,37,0,950,0,349
Z29569,6913,949,148,0,172,12,239,12,366
Z29571,6453,969,32,0,110,81,142,0,604
Z29572,15237,10959,5518,9,181,23,5051,0,177
Z29574,5879,1334,61,36,95,0,422,0,720
Z29575,17151,9273,1208,17,116,97,7591,0,244
Z29576,19508,7018,392,18,241,41,6053,42,231
Z29577,21070,8893,3379,63,370,118,4267,28,668
Z29579,18112,4802,1484,177,258,73,2655,0,155
Z29581,2304,499,86,0,5,27,148,0,233
Z29582,28550,20544,8022,17,141,137,11650,0,577
Z29583,2377,294,32,0,42,0,15,0,205
Z29584,1130,125,4,0,0,0,0,0,121
Z29585,10787,4651,370,49,284,105,3671,0,172
Z29588,18237,2666,352,96,157,61,1537,0,463
Z29590,1301,435,47,0,0,0,143,0,245
Z29591,2234,274,0,0,28,0,57,0,189
Z29593,978,212,32,6,0,0,80,0,94
Z29596,1278,319,0,0,22,0,33,0,264
Z29601,5723,866,149,46,15,56,222,0,378
Z29605,15578,1778,402,99,396,101,66,0,714
Z29607,17389,1617,633,164,195,72,105,0,448
Z29609,13197,1469,336,23,129,132,104,0,745
Z29611,12953,2103,281,180,220,32,22,0,1368
Z29615,17531,1508,541,124,85,0,199,0,559
Z29617,11329,1219,409,80,166,70,9,0,485
Z29620,6088,992,0,42,135,0,312,0,503
Z29621,17720,1794,626,73,200,54,289,33,519
Z29624,7116,1353,347,18,149,0,84,0,755
Z29625,13347,1673,176,0,145,0,683,24,645
Z29626,5933,946,27,0,38,41,372,0,468
Z29627,7550,1176,120,0,127,50,70,0,809
Z29628,1220,299,29,0,26,0,96,0,148
Z29630,6667,941,253,106,49,5,191,0,337
Z29631,6249,1045,236,150,28,0,393,24,214
Z29635,961,363,0,0,40,0,297,15,11
Z29638,1481,267,0,0,5,0,91,0,171
Z29639,513,120,3,0,0,0,36,0,81
Z29640,13150,1494,313,54,43,57,130,0,897
Z29642,12457,994,253,28,288,57,95,0,273
Z29643,1747,729,89,0,53,0,495,0,92
Z29644,8046,761,140,0,202,80,21,0,318
Z29645,3851,346,0,0,32,0,20,0,294
Z29646,12382,1848,547,17,371,0,180,0,733
Z29649,11280,1295,411,0,125,0,296,0,463
Z29650,13782,781,259,0,128,40,201,0,153
Z29651,18017,1174,87,8,143,112,51,0,773
Z29653,2084,300,53,26,0,0,77,0,144
Z29654,4770,704,110,0,0,40,109,0,445
Z29655,3920,1096,74,47,48,13,492,0,422
Z29657,6435,613,64,50,112,0,46,0,341
Z29658,156,28,0,0,0,0,13,0,15
Z29661,2808,561,26,0,0,27,186,0,322
Z29662,6481,565,220,21,47,67,54,0,156
