Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z55757,599,207,4,0,5,0,173,0,25
Z55760,4026,2506,19,14,79,7,2305,0,82
Z55763,810,539,0,0,27,0,483,0,29
Z55764,304,61,7,0,6,0,41,0,7
Z55767,1957,405,52,0,11,0,306,0,36
Z55768,1428,103,25,0,0,0,42,0,36
Z55769,1570,517,11,0,14,0,414,0,78
Z55771,1879,1131,5,4,12,0,1043,0,67
Z55775,770,177,0,0,16,6,136,0,19
Z55779,1733,282,0,0,6,0,212,0,64
Z55780,72,18,0,0,0,0,15,0,3
Z55781,836,519,0,0,2,0,472,0,45
Z55782,292,84,12,8,0,0,52,0,12
Z55783,1823,883,0,0,8,0,787,0,88
Z55786,130,5,5,0,0,0,0,0,0
Z55790,2445,1481,6,6,12,0,1360,0,97
Z55792,5476,713,142,0,104,0,55,0,412
Z55795,949,389,5,0,20,3,323,0,38
Z55797,682,117,0,0,4,0,83,0,30
Z55802,1651,274,94,14,7,15,83,0,61
Z55803,8335,1349,11,82,34,0,1026,0,196
Z55804,6225,444,40,49,62,8,151,0,134
Z55805,5259,462,169,38,37,13,53,0,152
Z55806,4721,542,160,45,75,15,9,0,238
Z55807,4691,330,15,0,54,32,0,0,229
Z55808,2668,140,48,0,9,0,0,0,83
Z55810,3693,92,0,0,31,29,18,0,14
Z55811,11151,833,122,38,136,140,151,0,246
Z55812,3713,285,100,25,36,0,18,0,106
Z55901,22348,1076,311,158,91,118,78,0,320
Z55902,9985,537,109,51,109,29,145,0,94
Z55904,10538,714,94,107,75,55,89,24,270
Z55906,7873,580,233,36,61,52,19,0,179
Z55909,550,47,6,7,12,0,8,0,14
Z55910,582,42,0,0,9,0,12,0,21
Z55912,12512,1188,241,8,298,12,83,0,546
Z55917,1476,89,14,5,12,3,7,0,48
Z55918,477,25,0,0,2,0,2,0,21
Z55919,534,88,0,6,10,0,58,0,14
Z55920,2652,146,27,0,0,4,7,0,108
Z55921,2217,287,34,0,46,23,88,0,96
Z55922,369,53,0,0,6,5,13,0,29
Z55923,2033,232,54,15,14,9,59,0,81
Z55924,610,79,22,0,0,0,27,4,26
Z55925,416,44,0,0,0,0,24,0,20
Z55926,322,37,0,4,0,5,3,0,25
Z55927,1539,40,0,0,0,0,6,0,34
Z55929,500,39,6,7,0,11,0,0,15
Z55932,864,61,7,0,13,0,19,0,22
Z55933,106,18,0,4,6,0,0,4,4
Z55934,1328,67,8,2,0,0,0,0,57
Z55936,791,83,15,8,0,9,5,0,46
Z55939,906,97,4,0,3,0,51,0,39
Z55940,1135,126,26,0,36,15,0,0,49
Z55941,422,40,6,0,0,7,9,0,18
Z55943,1434,139,15,0,38,9,46,0,31
Z55944,2867,124,0,0,2,62,0,0,60
Z55945,630,93,7,0,3,3,63,0,17
Z55946,1349,77,0,0,38,0,8,0,31
Z55947,3262,103,20,0,33,0,36,0,14
Z55949,1000,247,13,0,22,8,142,0,62
Z55951,666,63,3,0,27,8,8,4,13
Z55952,924,27,0,0,4,4,0,0,19
Z55953,395,40,6,0,2,17,0,0,15
Z55954,745,162,4,0,17,6,67,0,68
Z55955,956,15,0,0,8,0,0,0,7
Z55956,818,63,2,6,5,0,14,0,36
Z55957,277,26,4,0,0,0,17,0,5
Z55959,982,139,52,0,31,7,18,0,31
Z55960,1354,120,0,0,15,0,38,0,67
Z55961,196,25,2,3,0,0,4,0,16
Z55962,358,51,0,0,5,0,30,0,16
Z55963,2087,58,0,14,0,0,12,0,32
Z55964,1833,113,24,0,47,0,14,0,28
Z55965,1186,131,0,11,0,16,60,0,44
Z55967,354,14,0,0,0,0,5,0,9
Z55970,393,16,0,5,0,0,7,0,4
Z55971,1298,65,0,0,9,0,22,0,34
Z55972,1800,117,86,0,0,5,10,0,16
Z55973,135,12,3,0,0,0,0,0,9
Z55974,998,123,37,0,4,18,32,0,32
Z55975,2022,223,14,0,13,39,34,0,123
Z55976,3142,160,73,0,32,0,11,0,44
Z55981,2219,348,47,0,24,0,227,0,50
Z55983,654,45,27,0,3,5,0,0,10
Z55985,823,74,12,0,33,5,3,0,21
Z55987,14913,1375,432,200,156,13,276,8,290
Z55991,628,87,9,0,0,0,39,0,39
Z55992,2092,140,0,0,132,0,0,0,8
Z56001,19208,1228,535,142,53,38,38,0,422
Z56003,6370,160,58,0,0,0,44,0,58
Z56007,9881,726,250,0,36,27,67,0,346
Z56009,682,96,6,0,7,0,2,0,81
Z56010,549,68,0,0,0,0,8,0,60
Z56011,3366,372,117,35,6,0,7,0,207
Z56013,2088,114,0,0,23,30,10,0,51
Z56014,376,55,8,0,4,0,0,0,43
Z56016,433,48,0,5,14,6,8,0,15
Z56017,881,236,11,6,6,0,207,0,6
Z56020,54,4,0,0,0,0,0,0,4
Z56021,425,17,0,0,0,0,3,0,14
Z56022,48,15,0,0,0,0,0,0,15
Z56023,248,31,0,0,0,0,7,0,24
Z56024,1100,14,0,0,0,0,0,0,14
Z56025,232,8,0,0,4,0,0,0,4
Z56026,843,109,6,6,26,0,32,0,39
Z56027,466,66,13,0,0,0,0,0,53
Z56028,723,209,0,0,6,0,187,0,16
Z56029,333,31,1,0,4,0,0,0,26
Z56031,5936,603,137,0,86,0,182,0,198
Z56033,193,38,5,0,4,0,3,0,26
Z56034,256,28,0,0,15,0,13,0,0
Z56035,172,27,0,7,7,0,0,0,13
Z56039,457,44,2,0,0,0,1,0,41
Z56042,305,35,4,0,5,0,7,0,19
Z56043,227,10,0,0,0,0,0,0,10
Z56044,875,45,2,0,17,0,10,0,16
Z56045,370,49,4,0,10,0,6,0,29
Z56047,75,7,0,0,0,0,1,0,6
Z56048,1682,130,0,0,22,5,59,1,43
Z56050,744,84,0,0,0,0,36,0,48
Z56051,364,23,6,0,0,0,1,0,16
Z56055,1748,205,49,0,20,0,12,0,124
Z56056,37,5,0,0,0,0,0,0,5
Z56057,1637,125,16,13,21,2,40,0,33
Z56058,2631,186,26,7,33,48,52,0,20
Z56062,1405,155,31,0,17,16,8,0,83
Z56063,1492,362,0,2,4,0,288,0,68
Z56065,1123,103,21,0,9,0,11,0,62
Z56068,507,52,6,0,19,7,14,0,6
Z56069,1965,143,22,0,30,6,4,0,81
Z56071,4419,269,58,46,24,0,0,0,141
Z56072,1086,186,19,0,13,9,121,0,24
Z56073,7482,423,90,4,138,16,5,0,170
Z56074,835,57,15,0,8,0,0,0,34
Z56075,108,11,4,0,0,0,0,0,7
Z56078,180,11,0,0,0,0,6,0,5
Z56080,282,11,0,0,0,0,0,0,11
Z56081,2687,276,27,0,40,4,73,0,132
Z56082,4688,215,21,0,63,16,36,0,79
Z56083,454,68,4,0,12,0,1,0,51
Z56085,2370,232,25,25,2,0,36,0,144
Z56087,1430,159,44,0,32,0,20,0,63
Z56088,937,133,25,0,15,0,8,0,85
Z56090,299,19,0,0,3,6,0,0,10
Z56091,173,25,6,0,3,0,8,0,8
Z56093,5135,324,23,26,54,0,42,22,157
Z56096,1645,439,19,0,23,24,235,0,138
Z56097,1821,174,7,0,68,0,17,0,82
Z56098,1036,129,0,0,9,0,25,0,95
Z56101,2862,388,36,0,4,47,67,0,234
Z56110,826,33,0,0,9,0,3,0,21
Z56111,181,9,0,0,0,0,1,0,8
Z56114,185,47,2,5,8,5,20,0,7
Z56115,598,130,33,0,19,6,38,0,34
Z56116,257,18,0,4,0,0,0,0,14
Z56117,145,24,0,0,0,3,8,0,13
Z56118,152,8,0,0,0,0,4,0,4
Z56119,439,32,0,0,0,0,5,0,27
Z56120,526,73,0,0,6,0,5,0,62
Z56121,302,44,0,0,0,0,11,0,33
Z56122,259,21,4,3,0,0,0,0,14
Z56123,286,61,0,0,7,0,44,0,10
Z56127,200,24,0,0,4,0,0,0,20
Z56128,866,71,0,7,9,0,36,0,19
Z56129,320,38,0,0,2,0,3,0,33
Z56131,1152,105,0,0,12,0,16,0,77
Z56136,618,149,18,3,6,7,84,0,31
Z56137,542,91,17,0,24,6,8,0,36
Z56138,374,27,5,0,0,7,2,0,13
Z56139,202,25,5,3,6,0,4,0,7
Z56142,546,100,21,0,0,0,30,0,49
Z56143,2213,252,72,0,41,1,20,0,118
Z56144,548,46,11,0,6,0,2,0,27
Z56145,282,38,0,0,8,0,0,0,30
Z56149,779,213,27,0,6,0,112,0,68
Z56150,1294,163,14,0,20,3,10,0,116
Z56151,395,57,4,0,9,0,13,0,31
Z56152,717,116,58,7,6,0,4,0,41
Z56153,113,18,0,0,0,4,0,0,14
Z56155,194,35,4,0,16,0,4,0,11
Z56156,2752,215,46,0,24,5,38,0,102
Z56157,393,74,4,0,15,11,0,0,44
Z56158,208,26,0,0,4,0,3,0,19
Z56159,1209,65,0,0,3,0,0,0,62
Z56161,167,17,0,0,4,0,3,0,10
Z56164,2742,285,64,0,58,5,1,0,157
Z56165,168,10,5,0,0,0,1,0,4
Z56169,315,35,0,0,4,7,14,0,10
Z56171,894,147,0,0,0,0,50,0,97
Z56172,1612,205,13,15,0,4,139,0,34
Z56175,1592,399,64,0,33,0,162,0,140
Z56176,522,61,6,0,6,0,17,0,32
Z56178,806,109,8,0,9,0,17,0,75
Z56180,608,100,44,0,12,6,0,0,38
Z56181,545,76,6,7,5,0,14,0,44
Z56183,645,94,17,0,15,0,31,0,31
Z56185,245,2,0,0,0,0,0,0,2
Z56186,171,13,3,0,0,0,0,0,10
Z56187,5316,429,69,13,34,49,44,0,220
Z56201,9780,674,134,125,140,0,89,0,186
Z56207,99,17,0,0,0,0,8,0,9
Z56208,1169,194,37,1,9,0,66,0,81
Z56209,1344,384,0,0,5,11,330,0,38
Z56211,399,193,0,2,13,0,135,0,43
Z56212,300,83,6,0,12,0,30,0,35
Z56214,342,30,0,0,1,0,0,0,29
Z56215,2210,231,42,2,5,5,72,0,105
Z56216,268,21,0,0,9,0,4,0,8
Z56218,295,63,0,0,0,0,15,0,48
Z56219,614,246,14,0,7,0,175,0,50
Z56220,1483,195,13,0,0,10,48,0,124
Z56221,314,39,13,0,4,0,5,0,17
Z56222,818,80,10,0,0,16,4,0,50
Z56223,681,105,9,0,10,12,22,0,52
Z56224,185,30,0,0,5,2,0,0,23
Z56225,464,160,10,0,0,0,128,0,22
Z56226,105,11,0,0,0,0,5,0,6
Z56228,456,49,12,0,6,5,2,0,24
Z56229,788,69,17,0,0,4,5,0,43
Z56230,391,54,14,0,0,0,0,0,40
Z56231,208,26,0,0,0,0,7,0,19
Z56232,1175,151,22,0,9,6,28,0,86
Z56235,260,38,5,0,0,2,9,0,22
Z56236,166,18,0,0,4,0,4,0,10
Z56240,487,83,0,0,7,0,19,0,57
Z56241,1872,233,35,32,0,4,36,0,126
Z56243,765,81,0,0,11,0,39,0,31
Z56244,568,50,2,0,6,4,2,0,36
Z56245,234,15,1,0,0,0,1,0,13
Z56251,413,13,0,0,6,0,0,0,7
Z56252,544,48,7,0,16,0,9,0,16
Z56253,654,222,0,0,24,0,174,0,24
Z56255,174,23,6,0,9,4,4,0,0
Z56256,1351,212,15,0,28,7,67,0,95
Z56257,267,67,0,0,0,0,34,0,33
Z56258,6518,560,233,26,155,0,8,0,138
Z56260,378,53,5,0,6,0,20,0,22
Z56262,344,61,0,0,12,0,23,0,26
Z56263,244,30,8,0,9,0,1,0,12
Z56264,989,105,16,0,0,4,32,0,53
Z56265,3640,373,65,40,99,0,26,0,143
Z56266,769,115,40,0,7,2,4,0,62
Z56267,2987,353,165,28,28,4,74,0,54
Z56273,2434,476,10,0,25,16,396,0,29
Z56276,163,28,2,0,0,0,12,0,14
Z56277,1427,126,12,0,64,5,11,0,34
Z56278,1700,440,27,0,9,6,325,0,73
Z56279,542,69,4,0,0,0,45,0,20
Z56280,232,20,0,0,0,0,0,0,20
Z56281,254,12,5,0,0,7,0,0,0
Z56282,585,46,17,0,0,0,0,0,29
Z56283,3061,351,146,41,56,3,33,0,72
Z56284,1028,132,18,7,25,5,9,0,68
Z56285,542,75,1,0,14,0,2,0,58
Z56288,2766,876,32,0,78,0,663,0,103
Z56289,335,68,0,0,0,0,48,0,20
Z56291,230,19,0,0,1,0,5,0,13
Z56292,253,37,3,0,5,0,7,0,22
Z56293,499,49,14,0,7,0,0,0,28
Z56295,150,16,3,0,4,0,0,0,9
Z56296,1162,246,36,18,41,0,40,0,111
Z56297,378,27,5,0,0,0,8,0,14
Z56301,12184,879,395,275,0,0,36,0,173
Z56303,11621,588,174,28,152,25,4,0,205
Z56304,6745,670,295,17,50,0,21,0,287
Z56307,2083,84,0,0,0,0,15,0,69
Z56308,13515,2771,372,24,56,4,2053,0,262
Z56309,711,228,0,0,2,0,200,0,26
Z56310,2253,279,20,0,11,5,203,0,40
Z56311,376,123,10,0,14,1,58,0,40
