Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,White,Black,Asian,Hispanic
48130,Dexter,MI,15486,3.2,4.1,23.6,3.9,193.7,16.1,6.8,1591,3516,7906,1724,596,7059,7685,4296.714,861,97.4,0.3,0.7,0.3
48131,Dundee,MI,6605,8.7,7.4,30.4,9.7,108.5,27.7,-2,9040,10750,14858,8520,7861,3825,16698,10221.71,8685,97.8,0.6,0.1,0.3
48133,Erie,MI,5753,12.9,6.2,32.2,9.2,102.6,13.9,-17.6,14491,8154,16364,7881,9532,8030,23210,12523.14,12672,93,0.5,0.8,3.9
48134,Flat Rock,MI,20433,8.1,8.2,30,9.7,129.9,32.3,-5.5,8141,12270,14515,8518,3986,3099,19333,9980.286,8311,91.1,1.8,1.3,2.9
48135,Garden City,MI,27155,11.9,6.8,30.5,10.9,100.6,-7.2,-2.2,13337,9461,14953,10005,10139,19682,16931,13501.14,14456,94.9,0.9,0.7,1.9
48137,Gregory,MI,5164,5.5,5.5,23.6,2.6,156.3,31.2,13.7,4247,6507,7922,759,1752,3225,3919,4047.286,705,95.3,0.8,0.5,2.3
48138,Grosse Ile,MI,10209,3.9,4.8,23.5,3.1,187.8,11.1,0,2252,4936,7819,1071,704,9463,14190,5776.429,2187,93.8,0.4,2.2,1.6
48140,Ida,MI,3454,5.2,2.8,21.6,3.4,160.2,16.7,-12.7,3838,1431,5758,1303,1543,6815,22296,6140.571,2612,98.5,0,0,0.5
48141,Inkster,MI,24897,16.4,15.8,42.5,34.9,60.9,-17.5,-4.1,17775,21643,22064,23665,22761,22090,18475,21210.43,24093,24.5,66.1,3.7,1.8
48144,Lambertville,MI,9757,4.2,5.5,22.1,5.2,133.3,6.7,3,2593,6489,6306,3021,3576,12077,11016,6439.714,3013,96.9,0.1,1,1.3
48145,La Salle,MI,3477,9.8,9.7,26.4,6.3,139.4,-42.1,-11.4,10686,14972,11026,4314,2955,24062,21965,12854.29,13252,95.8,0,0.2,1.2
48146,Lincoln Park,MI,37243,20,10.2,39.7,19.7,83.1,7.1,-1.4,20153,15834,21024,18550,16569,11864,16242,17176.57,20378,89.2,1.9,0.4,6.3
48150,Livonia,MI,26558,6.2,5.7,23,6.2,132.9,20.2,0,5244,6953,7277,4165,3619,5591,14007,6693.714,3323,94.7,0.5,1.2,1.9
48152,Livonia,MI,30843,6.4,5.3,24.2,7.3,135.9,10.9,-7.3,5539,6029,8577,5473,3288,9583,20372,8408.714,5780,92.3,1.1,3.6,1.5
48154,Livonia,MI,37911,5.4,3.7,24.1,4.3,150.9,14.9,2.6,4108,2803,8434,2095,2060,7579,11373,5493.143,1900,95.3,0.6,1.3,1.8
48157,Luna Pier,MI,1341,13.3,10.8,33.2,16.9,97.8,71.7,22.2,14928,16671,17181,16397,11054,939,1898,11295.43,10484,93.4,0,0,2.9
48158,Manchester,MI,7594,5.4,7.6,26.5,8.6,136,100.1,-0.8,4109,11124,11113,7142,3280,525,15733,7575.143,4571,95.4,0,0.4,3.3
48159,Maybee,MI,2544,11,2.5,33,8.2,127.2,-15.2,-13.8,12257,1136,16975,6658,4341,21713,22508,12226.86,12121,94.9,3.7,0.2,0.8
48160,Milan,MI,13542,7.4,8.7,35,5.4,138.3,-5.1,-2,7048,13195,18394,3310,3045,18811,16747,11507.14,10859,84,10.8,0.1,3.5
48161,Monroe,MI,26546,13.6,10.2,33.1,18.2,89.7,1.1,-6.6,15292,15796,17109,17467,14030,15700,19993,16483.86,19377,90.3,3.8,0.8,2.6
48162,Monroe,MI,28453,10.9,6.3,32.9,15.1,98.4,2.4,-4.2,12134,8358,16920,14733,10843,14871,18522,13768.71,14924,93.5,2,1.2,1.4
48164,New Boston,MI,8948,10.2,3.9,24.2,6.5,165.8,47.3,9.4,11208,3239,8546,4524,1287,1794,5868,5209.429,1624,93.3,3.1,0.1,1.3
48165,New Hudson,MI,6353,9.6,4.8,23.6,7.4,135.7,13.3,15.5,10362,5017,7914,5597,3312,8303,3310,6259.286,2758,97,0,0.1,2.2
48166,Newport,MI,11472,8.6,8.3,30.5,12.6,124.4,11.9,14.5,8880,12467,14967,12023,4721,9051,3600,9387,7376,94.8,0.2,0.8,2.5
48167,Northville,MI,21780,2.1,5.5,22.7,5.2,161.4,22.4,2.2,714,6457,6933,3028,1484,5011,11743,5052.857,1493,90.4,2.9,3.3,1.8
48168,Northville,MI,22001,3,4.9,21.6,1.9,262.8,58.7,51.9,1397,5127,5784,421,92,1255,330,2058,96,?,?,?,?
48169,Pinckney,MI,21142,5.9,4.1,25.1,4.7,149.7,10,6.4,4811,3558,9554,2512,2151,10064,7980,5804.286,2219,95.4,1.1,0.5,1.1
48170,Plymouth,MI,39512,3.6,4.7,21.7,5,154.5,12,3.9,1960,4726,5891,2827,1850,8983,10122,5194.143,1611,92.1,2.4,2.4,1.2
48173,Rockwood,MI,12559,9.4,9.7,27.4,7.7,138.3,18.4,8.1,10096,14963,12072,6009,3047,6159,6728,8439.143,5827,94.2,1,1.2,1.5
48174,Romulus,MI,31251,13.7,7.3,35.3,19.1,88.1,10.1,3,15391,10600,18583,18144,14643,10043,11002,14058,15412,70.1,23.7,0.9,2.2
48176,Saline,MI,21937,3.2,3.9,21.2,4,181,23.4,-1.6,1592,3144,5328,1794,829,4750,16383,4831.429,1285,94,1.1,1.4,1.3
48178,South Lyon,MI,31513,6.1,4.8,24.2,4.6,155.9,20,15.1,5104,4965,8563,2397,1773,5645,3420,4552.429,1063,96.5,0.4,0.6,1.3
48179,South Rockwood,MI,3515,11.7,2.7,33.4,8.5,129.5,122.9,16,13103,1348,17289,7044,4046,388,3175,6627.571,3241,96.5,0,0.2,0.6
48180,Taylor,MI,62021,17.1,7.9,36.1,21.9,81.8,18,2.2,18291,11838,19043,19967,17056,6304,11746,14892.14,16804,83.8,8.7,1.2,3.3
48182,Temperance,MI,21430,7.5,4.6,23.9,6.9,127.5,17.2,0,7201,4577,8235,5006,4287,6621,14061,7141.143,3925,96.3,0.5,0.3,1.4
