"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz"
"Z01339","Charlemont","MA",1378,7.5,"12.0",29.6,10.9,80.1,32.8,-9.40000000000001
"Z01341","Conway","MA",1711,1.5," 4.4",14,3.7,113.4,-5.40000000000001,-8
"Z01342","Deerfield","MA",1616,3.2," 3.8",16.4,8.2,148.2,5.8,0
"Z01346","Heath","MA",496,5.5," 6.8",28,11.6,82,25,50
"Z01349","Millers Falls","MA",1078,12," 7.2",20.6,4.6,90.4,-60.7,0
"Z01351","Montague","MA",2212,3.09999999999999," 4.7",21.5,10.7,106.5,-5.8,3.09999999999999
"Z01354","Gill","MA",1641,3.8," 4.7",15.6,10.3,107.6,207.6,19
"Z01360","Northfield","MA",3022,5.2," 4.6",19,4.3,92.6,9.7,4.5
"Z01364","Orange","MA",7880,13.4," 7.7",37.3,13.9,57.3,1.40000000000001,-3
"Z01366","Petersham","MA",1167,2.09999999999999," 6.6",25.5,2.4,92.8,-21.1,19.2
"Z01367","Rowe","MA",666,11.1," 8.8",16.6,19,77.1,-34,-25
"Z01370","Shelburne Falls","MA",3990,6.8," 5.2",24.6,8.2,80.3,-18.4,9.2
"Z01373","South Deerfield","MA",4355,3.5," 8.1",21.2,6.5,98.5,0.799999999999997,-5.59999999999999
"Z01375","Sunderland","MA",3680,7.3," 2.9",21.4,21.2,69.6,15.5,-3.90000000000001
"Z01376","Turners Falls","MA",5275,16.4," 8.2",32.4,20,61.1,-6.40000000000001,-7.5
"Z01379","Wendell","MA",843,6.7," 2.3",28.2,17.4,65.3,21.1,30
"Z01420","Fitchburg","MA",40462,17.8,"12.2",30,19.4,71.1,1.59999999999999,-2.90000000000001
"Z01430","Ashburnham","MA",6160,3.90000000000001," 4.3",20.9,7.4,127.8,-21.9,3.3
"Z01431","Ashby","MA",3177,7.2," 3.5",25.8,8,119.6,50,11.3
"Z01432","Ayer","MA",7489,5.5," 6.5",23.9,11.9,105.1,-13.2,-3.40000000000001
"Z01440","Gardner","MA",20320,15.7," 9.5",35.9,19.1,63.9,7.7,1
"Z01450","Groton","MA",11120,1.09999999999999," 3.9",21.3,3.2,170.1,38.3,3.90000000000001
"Z01451","Harvard","MA",4758,1.3," 1.8",22,7.7,184.7,-2.59999999999999,-5.40000000000001
"Z01452","Hubbardston","MA",4474,5.7," 4.4",17.8,5.8,119.2,-16.8,8
"Z01453","Leominster","MA",41206,13.5," 5.5",24.9,13.1,86,5.2,0.400000000000006
"Z01460","Littleton","MA",9359,1.7," 6.0",22.1,4.3,162.9,84.3,0.299999999999997
"Z01462","Lunenburg","MA",11029,7.7," 3.4",19,9.2,117.5,2.2,2
"Z01463","Pepperell","MA",11953,6," 4.4",21.2,5.6,117.4,19.4,-1.90000000000001
"Z01464","Shirley","MA",7436,13.7," 5.3",53.9,12.3,99,17.7,4.5
"Z01468","Templeton","MA",3717,7.5," 7.9",22,8,90.9,10.9,19.1
"Z01469","Townsend","MA",7348,3.3," 3.4",19.8,4.3,115.7,22.5,5.8
"Z01473","Westminster","MA",7414,6.2," 2.4",16.1,3.4,129.7,-2.40000000000001,-0.599999999999994
"Z01474","West Townsend","MA",1934,5.59999999999999,"11.1",15.4,1.7,140.5,-47.1,0
"Z01475","Winchendon","MA",10542,11.2," 8.3",23.2,8.6,87,7.2,0
"Z01501","Auburn","MA",16208,7.2," 4.9",20,4.1,106.6,4.5,6
"Z01503","Berlin","MA",2957,5.5," 6.0",14.2,2.7,129.5,9.09999999999999,4.09999999999999
"Z01504","Blackstone","MA",9078,8.8," 7.1",17.7,5.7,107.5,-2.5,5.59999999999999
"Z01505","Boylston","MA",4432,5.2," 7.0",15.9,3.3,150.1,16.3,0
"Z01506","Brookfield","MA",3405,9.59999999999999," 6.8",22.2,8.9,93.2,-52.4,-2.2
"Z01507","Charlton","MA",13215,5.40000000000001," 3.3",19,4.7,127.3,-21.1,-1.3
"Z01510","Clinton","MA",13727,9.59999999999999," 9.0",23.7,9.1,91.6,-3.40000000000001,-6.2
"Z01515","East Brookfield","MA",2198,6.59999999999999," 5.0",12.9,5.9,105.6,68.1,0
"Z01516","Douglas","MA",8650,3.7," 3.6",15.4,3.3,124,38.6,10.4
"Z01518","Fiskdale","MA",2951,3.3," 6.9",22.5,9.1,79.1,17.5,3.3
"Z01520","Holden","MA",14929,5," 6.1",19.2,3.6,142.4,14.8,0.700000000000003
"Z01521","Holland","MA",2498,6.2," 6.1",23.9,7.4,109.4,-29.9,0
"Z01523","Lancaster","MA",7877,10.3," 1.8",30.8,9.3,144.3,3.90000000000001,14.3
"Z01524","Leicester","MA",6827,10," 4.9",23,7,91.5,10,1.90000000000001
"Z01527","Millbury","MA",13391,9," 5.3",19,7.1,103.8,-5.5,6.59999999999999
"Z01529","Millville","MA",3208,12.6," 5.6",19.6,8.6,118.8,26.6,17.9
"Z01531","New Braintree","MA",1133,6.09999999999999," 7.3",24.3,5,116.7,-21.6,5.90000000000001
"Z01532","Northborough","MA",14814,4.09999999999999," 2.8",18.4,3.1,157.2,38.7,10.5
"Z01534","Northbridge","MA",6378,6.09999999999999," 8.0",13.6,5.6,140,14.1,16.4
"Z01535","North Brookfield","MA",4734,7.3,"15.3",19.7,5.8,99.5,-13.3,0
"Z01536","North Grafton","MA",7634,4.7," 7.5",21.3,8.1,122.4,1.09999999999999,0
"Z01537","North Oxford","MA",2444,10.9,"11.2",29.4,16,105.4,28.9,18.9
"Z01540","Oxford","MA",11112,5.59999999999999," 4.7",19.4,8.8,95.3,33.7,3.3
"Z01541","Princeton","MA",3456,0.799999999999997," 4.2",20.9,7.5,166.5,-14.5,2.90000000000001
"Z01542","Rochdale","MA",2110,12," 3.1",18,1.9,122.9,31.6,2.90000000000001
"Z01543","Rutland","MA",8316,1.09999999999999," 5.1",17.3,2.4,137.1,24.7,8.09999999999999
"Z01545","Shrewsbury","MA",35963,5.40000000000001," 6.7",18,4.7,137.5,15.1,3.3
"Z01550","Southbridge","MA",16802,18.8," 9.2",29.8,16.9,64,7.59999999999999,-6.90000000000001
"Z01560","South Grafton","MA",4558,6.8,"10.3",19.8,8,104.7,25.4,8.8
"Z01561","South Lancaster","MA",141,0,"39.6",17,10.6,92.8,-36,-9.40000000000001
"Z01562","Spencer","MA",11773,11.5,"10.1",25.1,11.4,91.7,6.7,1.90000000000001
"Z01564","Sterling","MA",7896,5.3," 1.5",22.1,4.9,126.9,21.7,7.2
"Z01566","Sturbridge","MA",6469,5.3," 6.8",21.3,2.3,137.3,-1.40000000000001,-2.09999999999999
"Z01568","Upton","MA",7468,3.90000000000001," 9.6",15,5,162.2,9.59999999999999,-1.3
"Z01569","Uxbridge","MA",13828,3.8," 3.6",17.6,6.7,131.7,20.1,8.8
"Z01570","Webster","MA",16827,16.4," 8.8",27.8,15.5,70.1,3.7,2.5
"Z01571","Dudley","MA",11515,9," 7.9",19.3,9.9,96.8,5.8,0.599999999999994
"Z01581","Westborough","MA",18611,3.8," 4.1",21.1,4.3,148,9.7,6.2
"Z01583","West Boylston","MA",7442,10.4," 3.5",47.1,8.5,100.1,5,-0.400000000000006
"Z01585","West Brookfield","MA",4664,8.59999999999999," 6.3",23.6,7.3,89,8.40000000000001,8.8
"Z01588","Whitinsville","MA",9668,8.90000000000001," 6.3",21.7,9.2,96.2,8.09999999999999,-3.3
"Z01590","Sutton","MA",9080,5," 5.3",20.1,3.7,158.3,-5.09999999999999,2.59999999999999
"Z01602","Worcester","MA",23709,9," 4.7",22.1,13.6,87.2,1.3,4.2
"Z01603","Worcester","MA",20053,20.7," 8.8",34.5,21.8,63.2,4.40000000000001,2.40000000000001
"Z01604","Worcester","MA",35441,12.7," 7.5",30.3,20.4,70.3,-9.90000000000001,4.7
"Z01605","Worcester","MA",28242,17.4," 9.9",29.9,27.1,53.1,-13.5,5
"Z01606","Worcester","MA",19209,7.3," 8.3",22.2,10.1,92.8,13.3,0.700000000000003
"Z01607","Worcester","MA",9288,14.9," 9.9",29.9,16.4,65.9,13.9,9.2
"Z01608","Worcester","MA",3275,30.2,"15.5",47.9,47.7,33.2,30,-2.59999999999999
"Z01609","Worcester","MA",20916,19.3,"11.5",31.6,25.7,63.8,26.3,-0.799999999999997
"Z01610","Worcester","MA",23912,27,"10.5",40.4,36.6,45.2,-2.09999999999999,5.09999999999999
"Z01611","Cherry Valley","MA",2548,6.2," 8.3",14.8,4.1,122.2,31.9,7.09999999999999
"Z01612","Paxton","MA",4895,4.40000000000001," 2.9",15.5,3.1,134.9,25.2,7.7
"Z01701","Framingham","MA",31949,4.2," 2.6",18.4,5.6,133.4,-8.5,0.200000000000003
"Z01702","Framingham","MA",38573,17.3," 3.7",23.1,16.7,75.8,-6.7,7.40000000000001
"Z01719","Boxborough","MA",5137,0.299999999999997," 1.2",20.2,4.7,149.8,-3.5,-0.700000000000003
"Z01720","Acton","MA",22436,2.59999999999999," 2.8",20.5,3.2,182.1,6.3,-1.90000000000001
"Z01721","Ashland","MA",17159,3.90000000000001," 2.2",17.4,3.9,150.1,-0.400000000000006,4.8
"Z01730","Bedford","MA",13847,2.40000000000001," 3.5",20.5,3.7,165.9,3.8,2.8
"Z01740","Bolton","MA",5067,2.90000000000001," 3.4",16.8,1.8,215.1,-13.2,17
"Z01741","Carlisle","MA",5074,1.40000000000001," 3.6",19.8,2.4,242.3,-0.799999999999997,-5.59999999999999
"Z01742","Concord","MA",19345,6," 5.8",37.2,5.6,195.3,2.2,-0.299999999999997
"Z01746","Holliston","MA",14197,3," 0.9",20.4,3.9,158.8,-5.09999999999999,4
"Z01747","Hopedale","MA",5942,8.09999999999999," 3.9",18.9,2.3,138.9,26.9,1.40000000000001
"Z01748","Hopkinton","MA",15925,2.2," 3.8",22.9,2.3,202.1,31.4,9.8
"Z01749","Hudson","MA",19602,9.5," 3.6",19.7,6,110.8,4.40000000000001,2.90000000000001
"Z01752","Marlborough","MA",39425,10.9," 5.7",17.8,7.3,104.7,18,7.5
"Z01754","Maynard","MA",10459,4.5," 5.3",21,9,128.8,-10.1,1.5
"Z01756","Mendon","MA",5938,4.2," 1.6",18.8,1.7,158.9,16.9,-0.700000000000003
"Z01757","Milford","MA",28543,8.09999999999999," 5.6",20.1,11.1,102.3,16.8,3.8
"Z01760","Natick","MA",34683,2.7," 2.4",14.9,4,147.2,1.09999999999999,-1.40000000000001
"Z01770","Sherborn","MA",4245,1.40000000000001," 6.0",23.2,1.3,227.5,57.9,-4.5
"Z01772","Southborough","MA",9536,2.5," 5.7",19.9,3.7,211.7,6,4.59999999999999
"Z01773","Lincoln","MA",5262,2.59999999999999," 6.1",22.4,3.6,223.8,6,4.3
"Z01775","Stow","MA",6957,0.700000000000003," 2.0",18.3,4.5,200.6,26.9,2.59999999999999
"Z01776","Sudbury","MA",18397,1.40000000000001," 2.2",21.5,1.6,241.7,-1.2,4.59999999999999
"Z01778","Wayland","MA",13562,1.5," 2.4",19.7,4.5,209.5,34.2,8.8
"Z01801","Woburn","MA",39609,6," 5.2",18.9,7.4,117.1,7,5.7
"Z01803","Burlington","MA",25467,6.09999999999999," 4.2",18.9,5.2,137.9,10,3.59999999999999
"Z01810","Andover","MA",34616,2.5," 4.6",19.9,4.6,188.3,-6.5,4.7
"Z01821","Billerica","MA",31607,6.3," 2.3",19.8,5.8,136.1,-6.09999999999999,5.8
"Z01824","Chelmsford","MA",25669,3.59999999999999," 2.5",18.7,3.2,153.2,1.90000000000001,2.40000000000001
"Z01826","Dracut","MA",30633,8.90000000000001," 2.6",21.4,4.6,114,9.90000000000001,0
"Z01827","Dunstable","MA",3343,2.5," 2.6",19.1,2.2,172.9,-48.5,-4.3
"Z01830","Haverhill","MA",26499,14.4," 5.1",27.5,16.1,81.8,-8,-7.90000000000001
"Z01832","Haverhill","MA",22397,13.1," 7.2",27.5,10.6,85.8,18.9,0
"Z01833","Georgetown","MA",8441,3.09999999999999," 3.6",16.3,2.7,157.1,42.9,2.5
"Z01834","Groveland","MA",6646,3.90000000000001," 4.4",18,2.6,138.9,1,3.40000000000001
"Z01835","Haverhill","MA",13183,4.2," 6.3",19.4,7.2,105.8,14.3,5.59999999999999
"Z01840","Lawrence","MA",5165,39.4," 4.4",45.2,37.9,26.7,24.2,3.40000000000001
"Z01841","Lawrence","MA",48242,34," 5.8",34.6,29.8,48,-4.90000000000001,17.2
"Z01843","Lawrence","MA",25397,25.4," 5.3",30.6,23.9,63.2,4.7,4.90000000000001
"Z01844","Methuen","MA",48607,11.3," 4.0",21.3,9.8,104.1,12.5,4.40000000000001
"Z01845","North Andover","MA",29271,3.5," 4.0",18.8,5.2,146.3,8.09999999999999,4.7
"Z01850","Lowell","MA",16006,16.6," 8.1",30.9,18.8,71.4,2.8,7.3
"Z01851","Lowell","MA",30022,25.9," 6.4",30.3,18.6,73.1,22.1,15.4
"Z01852","Lowell","MA",33822,18.8," 6.2",30.2,18.9,70.6,-4.7,-2.8
"Z01854","Lowell","MA",29557,21.3," 6.7",31,23,60.7,3.3,-3
"Z01860","Merrimac","MA",6601,3.09999999999999," 2.1",20.9,6.2,107.9,-2.3,-2.40000000000001
