Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z01609,8170,7049,1121
Z01610,8759,7843,916
Z01611,1011,927,84
Z01612,1579,1508,71
Z01701,12680,12344,336
Z01702,15326,14745,581
Z01718,173,173,0
Z01719,2126,2101,25
Z01720,8865,8503,362
Z01721,6744,6596,148
Z01730,5330,5129,201
Z01731,638,572,66
Z01740,1676,1619,57
Z01741,1827,1762,65
Z01742,7478,6920,558
Z01745,160,133,27
Z01746,5084,5037,47
Z01747,2328,2237,91
Z01748,5698,5422,276
Z01749,7947,7638,309
Z01752,16560,15558,1002
Z01754,4544,4284,260
Z01756,2058,1993,65
Z01757,11565,10916,649
Z01760,14295,13874,421
Z01770,1554,1461,93
Z01772,3377,3175,202
Z01773,2229,2021,208
Z01775,2591,2538,53
Z01776,6221,6063,158
Z01778,5435,5213,222
Z01801,15925,15016,909
Z01803,9858,9359,499
Z01810,12797,12174,623
Z01821,11377,11083,294
Z01824,10138,9821,317
Z01826,11301,11008,293
Z01827,1208,1176,32
Z01830,10847,10202,645
Z01832,9193,8461,732
Z01833,3231,3115,116
Z01834,2496,2385,111
Z01835,5506,5118,388
Z01840,2379,2258,121
Z01841,16198,15253,945
Z01843,9488,8983,505
Z01844,18230,17451,779
Z01845,11366,10830,536
Z01850,5923,5445,478
Z01851,10741,10052,689
Z01852,14572,13564,1008
Z01854,10230,9446,784
Z01860,2582,2528,54
Z01862,3575,3367,208
Z01863,4039,3931,108
Z01864,5691,5361,330
Z01867,9342,8898,444
Z01876,11357,10974,383
Z01879,4327,4252,75
Z01880,10305,9851,454
Z01886,8339,7878,461
Z01887,7823,7652,171
Z01890,7918,7586,332
Z01901,829,761,68
Z01902,18239,16863,1376
Z01904,6617,6386,231
Z01905,8860,8390,470
Z01906,10757,10108,649
Z01907,5645,5512,133
Z01908,1756,1639,117
Z01913,7577,7055,522
Z01915,16989,16113,876
Z01921,2732,2713,19
Z01922,979,979,0
Z01923,10988,10394,594
Z01929,1627,1425,202
Z01930,14147,12303,1844
Z01937,0,0,0
Z01938,5916,5535,381
Z01940,5105,4771,334
Z01944,2300,2063,237
Z01945,8773,8137,636
Z01949,2744,2633,111
Z01950,8090,7555,535
Z01951,2006,1714,292
Z01952,4533,3446,1087
Z01960,22449,21411,1038
Z01966,4203,3282,921
Z01969,2246,2219,27
Z01970,19278,18001,1277
Z01982,2984,2728,256
Z01983,2320,2282,38
Z01984,1457,1372,85
Z01985,1607,1518,89
Z02019,6467,6196,271
Z02021,9182,8749,433
Z02025,3332,2967,365
Z02026,9844,9579,265
Z02030,2020,1935,85
Z02032,1564,1564,0
Z02035,6632,6411,221
Z02038,11429,11115,314
Z02043,9030,8435,595
Z02045,5856,4892,964
Z02047,174,84,90
