Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z93662,Selma,CA,California,Fresno,30774
Z93664,Shaver Lake,CA,California,Fresno,688
Z93665,South Dos Palos,CA,California,Merced,759
Z93666,Sultana,CA,California,Tulare,761
Z93667,Tollhouse,CA,California,Fresno,2556
Z93668,Tranquillity,CA,California,Fresno,941
Z93669,Wishon,CA,California,Madera,242
Z93673,Traver,CA,California,Tulare,711
Z93675,Squaw Valley,CA,California,Fresno,3097
Z93701,Fresno,CA,California,Fresno,10555
Z93702,Fresno,CA,California,Fresno,47013
Z93703,Fresno,CA,California,Fresno,33417
Z93704,Fresno,CA,California,Fresno,27009
Z93705,Fresno,CA,California,Fresno,38379
Z93706,Fresno,CA,California,Fresno,39929
Z93710,Fresno,CA,California,Fresno,32434
Z93711,Fresno,CA,California,Fresno,37317
Z93720,Fresno,CA,California,Fresno,46411
Z93721,Fresno,CA,California,Fresno,6811
Z93722,Fresno,CA,California,Fresno,82683
Z93723,Fresno,CA,California,Fresno,10214
Z93725,Fresno,CA,California,Fresno,26632
Z93726,Fresno,CA,California,Fresno,43115
Z93727,Fresno,CA,California,Fresno,76619
Z93728,Fresno,CA,California,Fresno,15496
Z93730,Fresno,CA,California,Fresno,10286
Z93901,Salinas,CA,California,Monterey,26800
Z93905,Salinas,CA,California,Monterey,61343
Z93906,Salinas,CA,California,Monterey,63897
Z93907,Salinas,CA,California,Monterey,21901
Z93908,Salinas,CA,California,Monterey,11953
Z93920,Big Sur,CA,California,Monterey,941
Z93921,Carmel By The Sea,CA,California,Monterey,3355
Z93923,Carmel,CA,California,Monterey,13043
Z93924,Carmel Valley,CA,California,Monterey,6231
Z93925,Chualar,CA,California,Monterey,1853
Z93926,Gonzales,CA,California,Monterey,9402
Z93927,Greenfield,CA,California,Monterey,18222
Z93928,Jolon,CA,California,Monterey,431
Z93930,King City,CA,California,Monterey,16691
Z93932,Lockwood,CA,California,Monterey,626
Z93933,Marina,CA,California,Monterey,23451
Z93940,Monterey,CA,California,Monterey,32785
Z93943,Monterey,CA,California,Monterey,0
Z93950,Pacific Grove,CA,California,Monterey,15570
Z93953,Pebble Beach,CA,California,Monterey,4554
Z93954,San Lucas,CA,California,Monterey,387
Z93955,Seaside,CA,California,Monterey,34311
Z93960,Soledad,CA,California,Monterey,26946
Z93962,Spreckels,CA,California,Monterey,761
Z94002,Belmont,CA,California,San Mateo,26961
Z94005,Brisbane,CA,California,San Mateo,4496
Z94010,Burlingame,CA,California,San Mateo,42452
Z94014,Daly City,CA,California,San Mateo,48691
Z94015,Daly City,CA,California,San Mateo,64258
Z94019,Half Moon Bay,CA,California,San Mateo,19050
Z94020,La Honda,CA,California,San Mateo,1206
Z94021,Loma Mar,CA,California,San Mateo,149
Z94022,Los Altos,CA,California,Santa Clara,19578
Z94024,Los Altos,CA,California,Santa Clara,23050
Z94025,Menlo Park,CA,California,San Mateo,41234
Z94027,Atherton,CA,California,San Mateo,7244
Z94028,Portola Valley,CA,California,San Mateo,6686
Z94030,Millbrae,CA,California,San Mateo,22447
Z94037,Montara,CA,California,San Mateo,2903
Z94038,Moss Beach,CA,California,San Mateo,3607
Z94040,Mountain View,CA,California,Santa Clara,34792
Z94041,Mountain View,CA,California,Santa Clara,13916
Z94043,Mountain View,CA,California,Santa Clara,29458
Z94044,Pacifica,CA,California,San Mateo,38735
Z94060,Pescadero,CA,California,San Mateo,1758
Z94061,Redwood City,CA,California,San Mateo,37809
Z94062,Redwood City,CA,California,San Mateo,27567
Z94063,Redwood City,CA,California,San Mateo,32549
Z94065,Redwood City,CA,California,San Mateo,12241
Z94066,San Bruno,CA,California,San Mateo,42569
Z94070,San Carlos,CA,California,San Mateo,30287
Z94074,San Gregorio,CA,California,San Mateo,263
Z94080,South San Francisco,CA,California,San Mateo,66431
Z94085,Sunnyvale,CA,California,Santa Clara,23683
Z94086,Sunnyvale,CA,California,Santa Clara,48258
Z94087,Sunnyvale,CA,California,Santa Clara,56411
Z94089,Sunnyvale,CA,California,Santa Clara,20747
Z94102,San Francisco,CA,California,City and County of San Francisco,28926
Z94103,San Francisco,CA,California,City and County of San Francisco,24309
Z94104,San Francisco,CA,California,City and County of San Francisco,304
Z94105,San Francisco,CA,California,City and County of San Francisco,6108
Z94107,San Francisco,CA,California,City and County of San Francisco,28641
Z94108,San Francisco,CA,California,City and County of San Francisco,14252
Z94109,San Francisco,CA,California,City and County of San Francisco,56293
Z94110,San Francisco,CA,California,City and County of San Francisco,72528
Z94111,San Francisco,CA,California,City and County of San Francisco,3527
Z94112,San Francisco,CA,California,City and County of San Francisco,84145
Z94114,San Francisco,CA,California,City and County of San Francisco,32598
