"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI"
"Z55082","Stillwater","MN",35630,2.90000000000001,3.2,21.9,5.7,131.5,8.7,3.90000000000001,1317,1950,6078,3605,3786,10817,10129,5383.14285714286,1794
"Z55084","Taylors Falls","MN",1681,2.90000000000001,5.1,19.8,5.4,104.5,45.2,4.3,1318,5536,3959,3233,8956,1919,9721,4948.85714285714,1388
"Z55088","Webster","MN",1834,5.3,3.7,18.7,3.8,135.2,-30.6,22.9,4004,2795,3000,1603,3358,23445,1843,5721.14285714286,2114
"Z55090","Willernie","MN",358,7,3.6,28.9,14.1,71.1,8.90000000000001,18.8,6442,2643,13488,13632,20548,10745,2513,10001.5714285714,8340
"Z55092","Wyoming","MN",11139,4.59999999999999,1.4,16.2,2.4,129.3,17.1,6.59999999999999,3099,263,1501,619,4059,6660,7850,3435.85714285714,429
"Z55101","Saint Paul","MN",6786,4.5,4.1,27.5,16.4,60.6,4.2,-5.2,2975,3538,12121,15927,22809,13765,19183,12902.5714285714,13349
"Z55102","Saint Paul","MN",17584,7,8.1,24.5,15.7,77.7,1.5,0.0999999999999943,6443,12095,8952,15272,18556,15466,13578,12908.8571428571,13357
"Z55103","Saint Paul","MN",13764,24.9,5.7,32.7,34.3,47.2,12.1,-0.599999999999994,22320,7085,16749,23581,24092,8978,15595,16914.2857142857,20011
"Z55104","Saint Paul","MN",45411,9.8,5.6,21,22,82.2,6,2.5,10703,6807,5127,20004,16892,12558,11502,11941.8571428571,11583
"Z55105","Saint Paul","MN",27257,1.3,3.4,15.4,7.4,120.8,7.2,5.5,345,2240,1206,5540,5302,11773,8745,5021.57142857143,1467
"Z55106","Saint Paul","MN",56578,22.6,7.6,30.3,28.4,69.8,7.3,3.5,21450,11254,14775,22492,20889,11744,10533,16162.4285714286,18909
"Z55107","Saint Paul","MN",15122,20,6.8,25.4,28.8,70.4,-8.09999999999999,-4.40000000000001,20155,9526,9937,22584,20748,20007,18711,17381.1428571429,20637
"Z55108","Saint Paul","MN",15450,4,4,18.8,16.1,98.9,-10,-2.8,2392,3333,3090,15630,10678,20543,17438,10443.4285714286,9064
"Z55109","Saint Paul","MN",32668,10.2,2.9,27.3,12.9,91.6,3.8,-3.8,11223,1628,11900,12325,13301,13983,18223,11797.5714285714,11325
"Z55110","Saint Paul","MN",38815,4,3.7,18.3,4.8,116.4,11.8,2,2393,2766,2715,2582,6076,9103,11938,5367.57142857143,1781
"Z55112","Saint Paul","MN",44533,6.2,2.7,20.4,10.6,104.7,-1.59999999999999,3.5,5264,1324,4485,9557,8912,17164,10562,8181.14285714286,5444
"Z55113","Saint Paul","MN",40289,6.59999999999999,4.4,19.7,11.4,101.4,7.59999999999999,3.5,5830,4142,3865,10507,9883,11528,10532,8041,5251
"Z55114","Saint Paul","MN",3363,4.5,4.2,21.3,28.1,67.9,5.90000000000001,-0.400000000000006,2976,3746,5459,22397,21389,12632,15450,12007,11691
"Z55115","Saint Paul","MN",9138,2.40000000000001,4.2,18.7,7.4,156.4,11.6,5.09999999999999,929,3719,3006,5557,1751,9211,9041,4744.85714285714,1227
"Z55116","Saint Paul","MN",24723,3.8,4.4,18.2,9.3,103.1,-4.59999999999999,7.8,2172,4091,2653,7914,9386,18613,6958,7398.14285714286,4317
"Z55117","Saint Paul","MN",43640,15.6,5.8,24.9,23.8,75.2,26.2,5.8,17114,7280,9362,20885,19370,4119,8473,12371.8571428571,12378
"Z55118","Saint Paul","MN",28141,7.59999999999999,4,23.6,8.5,99.8,10.6,3.09999999999999,7395,3395,7905,6985,10395,9762,10909,8106.57142857143,5339
"Z55119","Saint Paul","MN",41447,9.90000000000001,4.1,21.9,13,92,5.8,10.4,10848,3631,6093,12408,13152,12684,5352,9166.85714285714,7008
"Z55120","Saint Paul","MN",4205,3.8,1.8,18.1,5.4,132.1,24.9,11.4,2173,511,2554,3213,3713,4387,4823,3053.42857142857,297
"Z55121","Saint Paul","MN",8032,3.8,3.7,15,7.3,109.5,3.09999999999999,1.90000000000001,2174,2761,1080,5411,7600,14382,12091,6499.85714285714,3093
"Z55122","Saint Paul","MN",31291,3.90000000000001,2.2,14.9,8.6,118.9,26,18.2,2270,797,1039,7058,5608,4145,2637,3364.85714285714,404
"Z55124","Saint Paul","MN",50309,4.5,2.2,16.3,7.5,130.9,12.3,6.09999999999999,2977,811,1537,5674,3861,8828,8238,4560.85714285714,1073
