Zip_Code,City,State,Population,No_Diploma,Vacancy,No_Job,Poverty,Med_Inc,Chg_Job,Chg_Biz,No_Diploma_Rank,Vacancy_Rank,No_Job_Rank,Poverty_Rank,Med_Inc_Rank,Chg_Job_Rank,Chg_Biz_Rank,Avg_Rank,DCI,Rank_Label
Z04685,Swans Island,ME,392,11.5,6.9,36.5,8.2,108.3,18.8,27.3,12826,9714,19290,6663,7904,6024,1355,9110.857143,6907,Comfortable
Z43315,Cardington,OH,6622,14.1,5.6,23.9,14.7,99.1,31.9,11.3,15769,6851,8250,14267,10617,3157,4868,9111.285714,6908,Comfortable
Z59030,Gardiner,MT,1447,5.6,11.1,18.1,18,104.3,7.4,23.3,4411,17016,2615,17269,9039,11643,1789,9111.714286,6909,Comfortable
Z08106,Audubon,NJ,9802,7.4,4.8,21.5,5.9,96.9,-2.2,0.4,6984,4984,5692,3815,11379,17489,13440,9111.857143,6910,Comfortable
Z55418,Minneapolis,MN,30750,8,5.9,18.4,13.9,98.7,10.9,2.1,8001,7413,2809,13377,10742,9602,11842,9112.285714,6911,Comfortable
Z19365,Parkesburg,PA,7174,12.3,4.5,23.9,5.2,119.4,-1.7,2.4,13751,4418,8234,3039,5519,17202,11625,9112.571429,6912,Comfortable
Z64075,Oak Grove,MO,12088,8,6.2,24.3,6,119,5.7,-2,8023,8072,8709,3951,5592,12731,16718,9113.714286,6913,Comfortable
Z20689,Sunderland,MD,1481,10.3,8.3,25.2,4.4,127.4,39.6,-10,11311,12491,9730,2205,4301,2313,21448,9114.142857,6914,Comfortable
Z99709,Fairbanks,AK,31594,5.1,8.1,22.3,8.3,106.5,8.4,-0.1,3783,12071,6527,6728,8390,11009,15293,9114.428571,6915,Comfortable
Z22542,Rhoadesville,VA,2182,8.4,11.9,16.4,10.1,109.2,156.5,-4.5,8554,18081,1614,8920,7670,245,18717,9114.428571,6916,Comfortable
Z83276,Soda Springs,ID,3921,7.5,9.6,21.6,8,130,1.9,3.7,7281,14813,5837,6340,3974,15185,10376,9115.142857,6917,Comfortable
Z33573,Sun City Center,FL,20330,5.8,7.7,51,5.6,95.2,19.7,17,4662,11295,23648,3549,11982,5783,2890,9115.571429,6918,Comfortable
Z11426,Bellerose,NY,19842,11.3,6.5,23.7,9.8,130.2,7.3,3.9,12582,8812,8049,8592,3948,11692,10135,9115.714286,6919,Comfortable
Z56043,Hayward,MN,526,12.5,4.4,25.4,6.5,101.2,5.3,6.2,14029,4227,9913,4534,9938,13010,8160,9115.857143,6920,Comfortable
Z46570,Tippecanoe,IN,1230,20.4,7.1,21.5,12.4,112.3,16.2,23.1,20377,10189,5716,11740,6948,7034,1813,9116.714286,6921,Comfortable
Z32963,Vero Beach,FL,14354,1.9,11.9,39.4,3.6,206.5,5.5,4.6,593,18059,20882,1491,412,12869,9511,9116.714286,6922,Comfortable
Z12062,East Nassau,NY,1701,4.5,6.9,19.2,5.4,106.7,0,-6.7,2920,9593,3454,3228,8320,16252,20054,9117.285714,6923,Comfortable
Z70785,Walker,LA,21932,13.2,9.4,23.3,15.3,136.2,24.7,12.8,14855,14516,7652,14896,3264,4424,4216,9117.571429,6924,Comfortable
Z47905,Lafayette,IN,40834,9.8,4.8,23.4,12.7,105.9,9.5,4.7,10684,5021,7703,12068,8569,10360,9422,9118.142857,6925,Comfortable
Z96752,Kekaha,HI,3211,12.1,11.7,22.6,4.9,82.8,53.1,11.8,13608,17849,6880,2726,16641,1474,4651,9118.428571,6926,Comfortable
Z60073,Round Lake,IL,61118,20.3,5.5,23.7,12.2,111.7,20.1,12,20326,6665,8035,11506,7091,5633,4578,9119.142857,6927,Comfortable
Z34771,Saint Cloud,FL,13047,10,5.4,32.5,11.1,124,3.9,33,10954,6355,16594,10256,4776,13913,991,9119.857143,6928,Comfortable
Z82801,Sheridan,WY,24933,5.7,4.8,25.9,8.2,93.2,4.3,3.2,4585,4957,10445,6622,12719,13680,10834,9120.285714,6929,Comfortable
Z13804,Masonville,NY,597,9.5,8.2,24.3,6.7,91.8,12.8,9.1,10172,12287,8731,4767,13214,8589,6087,9121,6930,Comfortable
Z66204,Overland Park,KS,19855,8,6.7,18.8,11.2,99.4,2.7,6.3,8027,9170,3123,10281,10524,14676,8053,9122,6931,Comfortable
Z33991,Cape Coral,FL,18626,8.4,9.8,31.5,14.2,110.2,48.4,26.1,8567,15134,15822,13743,7436,1721,1432,9122.142857,6932,Comfortable
Z44847,Monroeville,OH,4071,7.9,6.2,20.2,7.7,116.8,1.4,-1.3,7820,8070,4334,5947,6000,15501,16188,9122.857143,6933,Comfortable
Z19147,Philadelphia,PA,37967,10.4,11.7,20.4,11,125,12.8,8.1,11465,17836,4565,10047,4642,8575,6737,9123.857143,6934,Comfortable
Z62544,Macon,IL,2048,7.5,8.5,18.7,7.5,101.5,3,3.3,7246,12841,3051,5686,9843,14450,10750,9123.857143,6935,Comfortable
Z81601,Glenwood Springs,CO,16028,12,2.8,21.4,10.9,95.9,13.7,0.2,13502,1483,5548,9933,11749,8141,13516,9124.571429,6936,Comfortable
Z41006,Butler,KY,4454,12.3,8.7,26.5,8.7,128.9,9.7,13.1,13774,13257,11122,7251,4118,10230,4133,9126.428571,6937,Comfortable
Z77447,Hockley,TX,13616,20.7,5.4,29,16.6,132.1,37.8,32.7,20554,6430,13591,16122,3718,2473,999,9126.714286,6938,Comfortable
Z36576,Silverhill,AL,3917,17.3,7.5,27.7,13.7,121.6,52.9,20.5,18425,11055,12380,13213,5192,1482,2152,9128.428571,6939,Comfortable
Z24421,Churchville,VA,3777,13.7,2.2,19.2,7.6,90.3,9.4,0,15369,861,3403,5819,13766,10431,14252,9128.714286,6940,Comfortable
Z14120,North Tonawanda,NY,44417,7.5,5.2,22.7,8.5,94.6,7.6,0.6,7147,5837,6931,6977,12219,11537,13266,9130.571429,6941,Comfortable
Z21742,Hagerstown,MD,32854,7.7,4.4,22.9,9.6,89,4.6,5.2,7507,4175,7139,8343,14274,13479,8998,9130.714286,6942,Comfortable
Z49033,Ceresco,MI,1758,6.4,8.3,27.6,9.1,141.4,200,-16.7,5544,12436,12277,7740,2769,153,22997,9130.857143,6943,Comfortable
Z31312,Guyton,GA,16529,12.5,9.7,27.5,11.8,138.9,39.1,8.6,13991,15000,12177,11029,2995,2352,6374,9131.142857,6944,Comfortable
Z97306,Salem,OR,29307,5.2,2.5,27,10.2,114,-4.9,1.1,3920,1094,11578,9138,6579,18729,12884,9131.714286,6945,Comfortable
Z20705,Beltsville,MD,27305,17,5.6,18.2,12.1,99.3,17.3,6.8,18200,6866,2664,11365,10552,6594,7682,9131.857143,6946,Comfortable
Z53530,Darlington,WI,4724,11.7,4.8,12.9,10.8,96.5,3,4.7,13112,5044,557,9777,11538,14454,9442,9132,6947,Comfortable
Z85268,Fountain Hills,AZ,23570,3.4,5.1,28.3,5.8,145.9,-6.3,-3.7,1824,5544,12940,3737,2406,19322,18153,9132.285714,6948,Comfortable
Z32833,Orlando,FL,9968,6.9,7,25.9,16.2,112.3,7.1,17.5,6261,9862,10484,15731,6953,11835,2807,9133.285714,6949,Comfortable
Z06385,Waterford,CT,15582,6.6,9.9,22.7,6.9,104.1,4.1,6.3,5764,15267,6978,4995,9076,13804,8051,9133.571429,6950,Comfortable
Z81521,Fruita,CO,15534,9.1,3.5,23.7,12.9,91.8,14,3.8,9688,2497,8006,12303,13224,7988,10229,9133.571429,6951,Comfortable
Z92019,El Cajon,CA,43873,11.6,3.6,30.7,13.4,119.9,10.7,11,13030,2695,15105,12908,5435,9698,5079,9135.714286,6952,Comfortable
Z46356,Lowell,IN,17654,8.7,4.4,28.5,7.5,133.6,0.5,1.7,9038,4187,13120,5761,3546,15994,12305,9135.857143,6953,Comfortable
Z12549,Montgomery,NY,11036,7.4,5.1,24.3,5.1,140.6,-2,-5.7,6995,5626,8694,2943,2845,17355,19493,9135.857143,6954,Comfortable
Z68456,Utica,NE,1110,10.4,5,20.5,5.8,138.1,-10.5,0,11531,5456,4617,3699,3064,20695,14897,9137,6955,Comfortable
Z98248,Ferndale,WA,23167,12,2.8,31.3,14.1,97,29.7,11.3,13517,1484,15626,13643,11365,3455,4871,9137.285714,6956,Comfortable
Z03753,Grantham,NH,2966,3.6,2.3,24.4,4.3,128.6,-27.9,-15.4,1918,891,8783,2099,4154,23253,22868,9138,6957,Comfortable
Z03273,South Sutton,NH,293,6,12.9,35.9,3.4,86.1,35.7,25,4903,19193,18955,1331,15387,2662,1541,9138.857143,6958,Comfortable
Z48883,Shepherd,MI,7285,11.2,6.6,28.1,12.3,99.3,32.6,12.3,12494,9009,12737,11670,10553,3073,4444,9140,6959,Comfortable
Z27572,Rougemont,NC,7357,9.5,7.5,22.2,6.4,143.8,2.3,0,10201,10981,6421,4384,2582,14923,14493,9140.714286,6960,Comfortable
Z52769,Stockton,IA,681,10.2,3.5,27.6,14,142,0,10,11219,2509,12217,13524,2719,16208,5596,9141.714286,6961,Comfortable
