"Zip_Code","City","State","Pop","Minority_Pct","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","UTSA_DCI","EIG_Distress_Score","Distress_Diff","EIG_Rank","UTSA_Rank","Rank_Diff"
"Z33473","Boynton Beach","FL",-1,34,0,0,0,0,0,0,0,0,0,0,3,2,-1
"Z33541","Zephyrhills","FL",-3,16.7,0,0,0,0,0,0,0,79.2,79.9,-0.700000000000003,20870,20696,-174
"Z33762","Clearwater","FL",-2,27,0,0,-0.100000000000001,0,0,0,0,50.9,51.3,-0.399999999999999,13394,13292,-102
"Z34737","Howey In The Hills","FL",0,17.3,0,0,0,0,0,0,0,25.6,25.2,0.400000000000002,6574,6681,107
"Z35553","Double Springs","AL",4,4.5,0,0,0.100000000000001,0,0,0,0,92,92.5,-0.5,24164,24028,-136
"Z35563","Guin","AL",3,5.9,0,0,0,0,0,0,0,90.4,90.8,-0.399999999999991,23720,23619,-101
"Z36451","Grove Hill","AL",-4,40.6,0,0,0,0,0,0,0,86.5,86.7,-0.200000000000003,22646,22602,-44
"Z38114","Memphis","TN",2,94.8,0,0,0,0,0,0,0,98.4,98.5,-0.0999999999999943,25725,25707,-18
"Z39071","Flora","MS",-4,49.6,0,0,0,0,0,0,0,56.3,56.9,-0.600000000000001,14857,14700,-157
"Z40442","Kings Mountain","KY",-2,7.3,0,0,0,0,0,0,0,76,60.4,15.6,15778,19842,4064
"Z41828","Kite","KY",-2,1.3,0,0,0,0,0,0,0,99.9,100,-0.0999999999999943,26123,26109,-14
"Z42050","Hickman","KY",3,31.8,0,0,0,0,0,0,0,99.8,99.8,0,26076,26075,-1
"Z42129","Edmonton","KY",0,3.5,0,0,0,0,0,0,0,91.2,91.1,0.100000000000009,23788,23820,32
"Z43450","Pemberville","OH",3,8.5,0,0,0,0,0,0,0,36.5,37.1,-0.600000000000001,9686,9542,-144
"Z45123","Greenfield","OH",-2,3.3,0,0,0,0,0,0,0,80.8,80.9,-0.100000000000009,21138,21112,-26
"Z45157","New Richmond","OH",4,2.5,0,0,0,0,0,0,0,73.7,75.2,-1.5,19635,19260,-375
"Z45212","Cincinnati","OH",-1,19.6,0,0,0,0,0,0,0,61.9,61.4,0.5,16039,16166,127
"Z46163","New Palestine","IN",1,2.6,0,0,0,0,0,0,0,1.4,1.3,0.0999999999999999,342,366,24
"Z46203","Indianapolis","IN",-3,27.2,0,0,0,0,0,0,0,86.1,86.1,0,22486,22488,2
"Z47118","English","IN",-5,3.2,0,0,0,0,0,0,0,67.5,67.2,0.299999999999997,17558,17623,65
