City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Elgin,NE,1,1154,9.3,10.6,10.6,8.2,100.5,0,14.9,27,0,0,0.1,0.1,99.8,225.36,0.059
Elgin,OK,1,5859,11.5,7,31.2,6.1,153,15.5,12.5,21,75.5,6.6,4.3,0.4,13.2,80,0.49
Elgin,OR,1,2471,7.9,12.2,42.2,15.6,85.5,4.9,-14,77.3,96.1,1.6,0,0.6,1.7,205.829,0.007
Elgin,SC,1,22990,8.4,6.9,27,9.5,131.2,-2.8,4.7,32.6,76.3,3.1,18,0.6,2,70.087,0.931
Elgin,TX,1,21735,19.6,6.9,27.6,17.2,103.4,38.2,12.9,37.7,59.5,29.2,9.1,0.2,2,186.592,0.953
Eliot,ME,1,6278,4.8,6.8,19.8,7,164,22.5,6.4,6.5,98.2,0.4,0.4,0.5,0.5,19.793,1.544
Elizabeth City,NC,1,40050,16.2,13.6,31.6,19.3,96.8,0.8,-2.9,78.3,56.4,1.2,39.6,1,1.8,226.901,26.545
Elizabeth,AR,1,669,10.2,6.5,56.7,6.7,79.8,-37.5,-20,77,98.1,0,0,0,1.9,57.259,7.22
Elizabeth,CO,1,12492,3.8,2.8,22.6,8.3,140.8,27.6,13.4,2.9,93.1,4,0,0.3,2.6,155.88,0
Elizabeth,IL,1,2125,5.9,4.9,25.2,7.3,81.1,-8.1,1.8,37.9,99.1,0.4,0,0,0.5,106.923,0.005
Elizabeth,IN,1,4294,17.3,13.6,22.7,12.4,113.5,-5.3,-8.1,66.4,98.8,0.1,0.4,0.2,0.5,83.44,0.121
Elizabeth,LA,1,864,16.9,22.3,31.9,15.3,102.1,-31.8,-16.7,88.7,12.9,0,0.4,18.6,68.1,28.627,0.212
Elizabeth,PA,1,11041,5.4,7.7,27,7.4,106.6,-14.6,-0.9,41.5,97.6,0,0.9,0.4,1.1,26.457,0.55
Elizabeth,WV,1,4328,13.5,9.4,37.8,15.9,89.6,-34.6,-26.4,87,99.4,0.3,0,0,0.3,145.615,1.335
Elizabethport,NJ,1,28248,36.4,15.9,31.5,23.2,62.5,-7.6,0.3,93.5,96.9,1.4,0.3,0.4,1,1.598,0.661
