"","Zip_Code","City","State","Pop","Minority","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","Distress_Score","Rank"
"86","Z74021","Collinsville","OK",-2,24.4,0,0,0,0,0,0,0,1953,3479.85714285714
"87","Z74878","Wanette","OK",4,12.7,0,0,0,0,0,0,0,19585,-3714.8571428571
"88","Z75418","Bonham","TX",-4,25.8,0,0,0,0,0,0,0,20701.3,-4352
"89","Z75490","Trenton","TX",-5,15.6,0,0,0,0,0,0,0,17659.1,-3085.5714285714
"90","Z76437","Cisco","TX",4,15.6,0,0,0,0,0,0,0,23835.3,-4386.8571428571
"91","Z77022","Houston","TX",0,94.9,0,0,0,0,0,0,0,21983.8,-4733.5714285714
"92","Z78212","San Antonio","TX",-2,67.3,0,0,-0.0999999999999979,0,0,0,0,19576.1,-3940.4285714286
"93","Z78219","San Antonio","TX",2,80.1,0,0,-0.100000000000001,0,0,0,0,18547.4,-3507.4285714286
"94","Z78615","Coupland","TX",-5,27.8,0,0,0,0,0,0,0,21595.7,-4596.2857142857
"95","Z79007","Borger","TX",4,36.9,0,0,0,0,0,0,0,18070.5,-3253.7142857143
"96","Z81005","Pueblo","CO",-3,47.5,0,0,0,0,0,0,0,12878.6,-757.857142857099
"97","Z81504","Grand Junction","CO",-5,17.4,0,0,0,0,0,0,0,13260.9,-982.4285714286
"98","Z81650","Rifle","CO",4,28.6,0,0,0,0,0,0,0,20378.9,-4213.4285714286
"99","Z82433","Meeteetse","WY",2,11.6,0,0,0,0,0,0,0,11441.9,-144.4285714286
"100","Z83654","New Meadows","ID",0,12.5,0,0,0.100000000000001,0,0,0,0,12956.8,-920.285714285699
"101","Z84025","Farmington","UT",-3,7.4,0,0,0,0,0,0,0,83.6,1897.71428571429
"102","Z84305","Clarkston","UT",-5,6.3,0,0,0,0,0,0,0,790.6,3308
"103","Z85003","Phoenix","AZ",-1,52.1,0,0,0,0,0,0,0,21949,-4722
"104","Z87511","Alcalde","NM",-3,96.3,0,0,0,0,0,0,0,19664.6,-4013.5714285714
"105","Z90023","Los Angeles","CA",-2,98,0,0,0,0,0,0,0,22156,-4790.4285714286
"106","Z91342","Sylmar","CA",-4,86.3,0,0,0,0,0,0,0,12626.3,-723.5714285714
"107","Z92071","Santee","CA",-2,28.8,0,0,0,0,0,0,0,2800.7,3334.57142857143
"108","Z93212","Corcoran","CA",0,80.7,0,0,0,0,0,0,0,21945.7,-4821.1428571429
"109","Z93465","Templeton","CA",-3,20.6,0,0,0,0,0,0,0,5758.8,2356.71428571429
"110","Z94022","Los Altos","CA",-2,34,0,0,0,0,0,0,0,722.9,3285.28571428571
"111","Z94513","Brentwood","CA",-1,44.2,0,0,0,0,0,0,0,1477,3481.28571428571
"112","Z95563","Salyer","CA",0,18.2,0,0,-0.100000000000001,0,0,0,0,11918.7,-468.857142857099
"113","Z97015","Clackamas","OR",-3,30.9,0,0,0,0,0,0,0,4417.2,2831.42857142857
"114","Z97371","Rickreall","OR",0,0,0,0,0,0,0,0,0,10820.5,157.4285714286
"115","Z97754","Prineville","OR",-3,11.9,0,0,0,0,0,0,0,18312.4,-3385
"116","Z98252","Granite Falls","WA",-1,14.2,0,0,0,0,0,0,0,5450.1,2490.85714285714
"117","Z99224","Spokane","WA",-1,16.4,0,0,0,0,0,0,0,6273.6,2113.14285714286
